
Параметры:	Период: 01.04.2016 - 27.08.2017
Отбор:	Направление В списке "Автосервис; АТП; Дуговая сварка.; ЗЧ и РМ; Компрессорное; Металлообработка; Насосное; НГО; Подготовка поверхности; Сварочное;..."
	
Направление	Заказ.Дата.Конец дня	Организация	Канал сбыта	Количество заказов	Сумма Руб.
ЗЧ и РМ	15.06.2016 23:59:59	PУТЕКТОР	Розница	16	143 882,26
Компрессорное	15.06.2016 23:59:59	PУТЕКТОР	Дилер	6	241 453,78
Компрессорное	15.06.2016 23:59:59	PУТЕКТОР	Розница	7	1 117 161,11
Насосное	15.06.2016 23:59:59	PУТЕКТОР	Дилер	11	401 232,72
Насосное	15.06.2016 23:59:59	PУТЕКТОР	Розница	15	1 062 227,93
НГО	15.06.2016 23:59:59	PУТЕКТОР	КПК	1	2 808 953,61
Подготовка поверхности	15.06.2016 23:59:59	PУТЕКТОР	Розница	5	195 817,52
Сварочное	15.06.2016 23:59:59	PУТЕКТОР	Дилер	5	2 069 162,14
Сварочное	15.06.2016 23:59:59	PУТЕКТОР	Розница	8	2 612 853,01
Химическое	15.06.2016 23:59:59	PУТЕКТОР	Розница	3	126 351,98
ЗЧ и РМ	15.06.2016 23:59:59	Рутектор	Дилер	1	17 237,25
ЗЧ и РМ	15.06.2016 23:59:59	Рутектор	Розница	1	13 365,98
Компрессорное	15.06.2016 23:59:59	Рутектор	Розница	1	627 751,62
Автосервис	16.06.2016 23:59:59	PУТЕКТОР	Розница	1	5 500,00
Дуговая сварка.	16.06.2016 23:59:59	PУТЕКТОР	Дилер	1	328 028,98
ЗЧ и РМ	16.06.2016 23:59:59	PУТЕКТОР	Дилер	11	139 717,94
ЗЧ и РМ	16.06.2016 23:59:59	PУТЕКТОР	Розница	15	403 163,40
Компрессорное	16.06.2016 23:59:59	PУТЕКТОР	Дилер	2	148 000,00
Компрессорное	16.06.2016 23:59:59	PУТЕКТОР	Розница	8	840 235,89
Металлообработка	16.06.2016 23:59:59	PУТЕКТОР	Розница	1	110 944,00
Насосное	16.06.2016 23:59:59	PУТЕКТОР	Дилер	10	628 283,08
Насосное	16.06.2016 23:59:59	PУТЕКТОР	Розница	14	1 388 536,97
Сварочное	16.06.2016 23:59:59	PУТЕКТОР	Дилер	6	181 103,89
Сварочное	16.06.2016 23:59:59	PУТЕКТОР	Розница	1	10 060,35
Строительное	16.06.2016 23:59:59	PУТЕКТОР	Дилер	1	2 380,00
Химическое	16.06.2016 23:59:59	PУТЕКТОР	Дилер	1	65 928,56
Химическое	16.06.2016 23:59:59	PУТЕКТОР	Розница	2	127 613,48
ЗЧ и РМ	16.06.2016 23:59:59	Рутектор	КПК	1	182 397,90
ЗЧ и РМ	16.06.2016 23:59:59	Рутектор	Розница	1	12 120,00
Дуговая сварка.	17.06.2016 23:59:59	PУТЕКТОР	Дилер	1	369 814,01
ЗЧ и РМ	17.06.2016 23:59:59	PУТЕКТОР	Дилер	5	66 752,45
ЗЧ и РМ	17.06.2016 23:59:59	PУТЕКТОР	Розница	14	129 063,18
Компрессорное	17.06.2016 23:59:59	PУТЕКТОР	Дилер	4	113 587,39
Компрессорное	17.06.2016 23:59:59	PУТЕКТОР	Розница	1	40 093,56
Насосное	17.06.2016 23:59:59	PУТЕКТОР	Дилер	7	1 814 026,84
Насосное	17.06.2016 23:59:59	PУТЕКТОР	Розница	3	246 506,04
Подготовка поверхности	17.06.2016 23:59:59	PУТЕКТОР	Дилер	1	17 200,00
Подготовка поверхности	17.06.2016 23:59:59	PУТЕКТОР	Розница	1	965,97
Сварочное	17.06.2016 23:59:59	PУТЕКТОР	Дилер	1	11 849,66
Сварочное	17.06.2016 23:59:59	PУТЕКТОР	КПК	1	68 245,48
Сварочное	17.06.2016 23:59:59	PУТЕКТОР	Розница	7	799 672,79
Строительное	17.06.2016 23:59:59	PУТЕКТОР	Дилер	1	60 257,62
Строительное	17.06.2016 23:59:59	PУТЕКТОР	Розница	1	54 336,04
Химическое	17.06.2016 23:59:59	PУТЕКТОР	Дилер	1	69 939,73
ЗЧ и РМ	17.06.2016 23:59:59	Рутектор	КПК	1	662 283,25
Компрессорное	17.06.2016 23:59:59	Рутектор	Розница	1	760 000,00
Насосное	17.06.2016 23:59:59	Рутектор	КПК	2	186 800,00
Сварочное	17.06.2016 23:59:59	Рутектор	КПК	1	177 490,96
Автосервис	20.06.2016 23:59:59	PУТЕКТОР	Розница	1	55 000,00
Дуговая сварка.	20.06.2016 23:59:59	PУТЕКТОР	Розница	3	1 090 049,82
ЗЧ и РМ	20.06.2016 23:59:59	PУТЕКТОР	Дилер	11	181 173,72
ЗЧ и РМ	20.06.2016 23:59:59	PУТЕКТОР	Розница	13	249 515,31
Компрессорное	20.06.2016 23:59:59	PУТЕКТОР	Дилер	4	2 079 122,73
Компрессорное	20.06.2016 23:59:59	PУТЕКТОР	Розница	12	814 660,75
Металлообработка	20.06.2016 23:59:59	PУТЕКТОР	Розница	1	467 847,32
Насосное	20.06.2016 23:59:59	PУТЕКТОР	Дилер	6	343 246,19
Насосное	20.06.2016 23:59:59	PУТЕКТОР	Розница	10	1 223 604,36
Подготовка поверхности	20.06.2016 23:59:59	PУТЕКТОР	Дилер	2	112 407,82
Подготовка поверхности	20.06.2016 23:59:59	PУТЕКТОР	КПК	1	452 505,46
Подготовка поверхности	20.06.2016 23:59:59	PУТЕКТОР	Розница	7	1 582 962,58
Сварочное	20.06.2016 23:59:59	PУТЕКТОР	Дилер	4	682 198,50
Сварочное	20.06.2016 23:59:59	PУТЕКТОР	Розница	3	126 644,20
Строительное	20.06.2016 23:59:59	PУТЕКТОР	Дилер	1	66 944,92
Строительное	20.06.2016 23:59:59	PУТЕКТОР	Розница	2	418 445,43
Химическое	20.06.2016 23:59:59	PУТЕКТОР	Дилер	1	635 389,63
Химическое	20.06.2016 23:59:59	PУТЕКТОР	Розница	2	84 038,93
Насосное	20.06.2016 23:59:59	Рутектор	КПК	1	214 195,00
Насосное	20.06.2016 23:59:59	Рутектор	Розница	1	54 807,28
АТП	21.06.2016 23:59:59	PУТЕКТОР	Розница	1	82 968,29
Дуговая сварка.	21.06.2016 23:59:59	PУТЕКТОР	Розница	1	156 464,05
ЗЧ и РМ	21.06.2016 23:59:59	PУТЕКТОР	Дилер	14	93 482,61
ЗЧ и РМ	21.06.2016 23:59:59	PУТЕКТОР	Розница	21	1 951 812,44
Компрессорное	21.06.2016 23:59:59	PУТЕКТОР	Дилер	1	122 460,00
Компрессорное	21.06.2016 23:59:59	PУТЕКТОР	Розница	6	1 031 199,00
Насосное	21.06.2016 23:59:59	PУТЕКТОР	Дилер	9	522 027,73
Насосное	21.06.2016 23:59:59	PУТЕКТОР	Розница	12	1 224 049,09
Подготовка поверхности	21.06.2016 23:59:59	PУТЕКТОР	Розница	1	478 000,00
Сварочное	21.06.2016 23:59:59	PУТЕКТОР	Дилер	1	27 038,20
Сварочное	21.06.2016 23:59:59	PУТЕКТОР	Розница	9	861 092,36
Химическое	21.06.2016 23:59:59	PУТЕКТОР	Дилер	1	191 438,41
Химическое	21.06.2016 23:59:59	PУТЕКТОР	Розница	3	114 051,05
Дуговая сварка.	21.06.2016 23:59:59	Рутектор	КПК	1	1 103 831,70
ЗЧ и РМ	21.06.2016 23:59:59	Рутектор	Розница	1	14 400,50
Сварочное	21.06.2016 23:59:59	Рутектор	Розница	1	3 748 128,80
Дуговая сварка.	22.06.2016 23:59:59	PУТЕКТОР	Розница	1	39 741,60
ЗЧ и РМ	22.06.2016 23:59:59	PУТЕКТОР	Дилер	4	24 371,73
ЗЧ и РМ	22.06.2016 23:59:59	PУТЕКТОР	Розница	22	192 195,50
Компрессорное	22.06.2016 23:59:59	PУТЕКТОР	Дилер	4	316 642,50
Компрессорное	22.06.2016 23:59:59	PУТЕКТОР	Розница	13	2 283 155,45
Насосное	22.06.2016 23:59:59	PУТЕКТОР	Дилер	20	1 084 773,08
Насосное	22.06.2016 23:59:59	PУТЕКТОР	Розница	7	606 385,39
Подготовка поверхности	22.06.2016 23:59:59	PУТЕКТОР	Дилер	3	113 664,50
Подготовка поверхности	22.06.2016 23:59:59	PУТЕКТОР	Розница	3	569 225,06
Сварочное	22.06.2016 23:59:59	PУТЕКТОР	Дилер	6	1 766 812,22
Сварочное	22.06.2016 23:59:59	PУТЕКТОР	Розница	1	19 611,84
Строительное	22.06.2016 23:59:59	PУТЕКТОР	Дилер	1	9 060,00
Химическое	22.06.2016 23:59:59	PУТЕКТОР	Дилер	1	147 756,60
Химическое	22.06.2016 23:59:59	PУТЕКТОР	Розница	1	10 396,82
Насосное	22.06.2016 23:59:59	Рутектор	Дилер	1	26 137,63
Насосное	22.06.2016 23:59:59	Рутектор	Розница	1	1 396 045,07
НГО	22.06.2016 23:59:59	Рутектор	КПК	2	2 013 551,59
Дуговая сварка.	23.06.2016 23:59:59	PУТЕКТОР	Розница	2	43 259,40
ЗЧ и РМ	23.06.2016 23:59:59	PУТЕКТОР	Дилер	12	156 461,14
ЗЧ и РМ	23.06.2016 23:59:59	PУТЕКТОР	Розница	14	433 567,24
Компрессорное	23.06.2016 23:59:59	PУТЕКТОР	Дилер	3	68 722,79
Компрессорное	23.06.2016 23:59:59	PУТЕКТОР	Розница	10	2 406 891,06
Насосное	23.06.2016 23:59:59	PУТЕКТОР	Дилер	17	1 236 808,63
Насосное	23.06.2016 23:59:59	PУТЕКТОР	Розница	15	1 230 326,28
Подготовка поверхности	23.06.2016 23:59:59	PУТЕКТОР	Дилер	1	56 100,00
Подготовка поверхности	23.06.2016 23:59:59	PУТЕКТОР	Розница	3	228 092,77
Сварочное	23.06.2016 23:59:59	PУТЕКТОР	Дилер	3	571 579,46
Сварочное	23.06.2016 23:59:59	PУТЕКТОР	Розница	2	340 184,17
Химическое	23.06.2016 23:59:59	PУТЕКТОР	Дилер	1	144 449,38
Химическое	23.06.2016 23:59:59	PУТЕКТОР	Розница	2	777 391,98
ЗЧ и РМ	23.06.2016 23:59:59	Рутектор	КПК	1	292 100,00
ЗЧ и РМ	23.06.2016 23:59:59	Рутектор	Розница	1	19 567,04
Дуговая сварка.	24.06.2016 23:59:59	PУТЕКТОР	Розница	3	25 207,66
ЗЧ и РМ	24.06.2016 23:59:59	PУТЕКТОР	Дилер	6	35 267,94
ЗЧ и РМ	24.06.2016 23:59:59	PУТЕКТОР	Розница	13	119 619,93
Компрессорное	24.06.2016 23:59:59	PУТЕКТОР	Дилер	3	492 952,49
Компрессорное	24.06.2016 23:59:59	PУТЕКТОР	Розница	6	322 456,13
Насосное	24.06.2016 23:59:59	PУТЕКТОР	Дилер	15	675 289,60
Насосное	24.06.2016 23:59:59	PУТЕКТОР	Розница	7	1 478 472,29
Подготовка поверхности	24.06.2016 23:59:59	PУТЕКТОР	Дилер	3	35 603,11
Сварочное	24.06.2016 23:59:59	PУТЕКТОР	Дилер	1	7 508,86
Сварочное	24.06.2016 23:59:59	PУТЕКТОР	Розница	7	1 978 872,85
Химическое	24.06.2016 23:59:59	PУТЕКТОР	Дилер	2	81 416,51
Химическое	24.06.2016 23:59:59	PУТЕКТОР	Розница	2	141 502,73
ЗЧ и РМ	24.06.2016 23:59:59	Рутектор	КПК	1	445 400,00
Компрессорное	24.06.2016 23:59:59	Рутектор	КПК	1	81 000,00
Насосное	24.06.2016 23:59:59	Рутектор	КПК	2	302 230,00
ЗЧ и РМ	27.06.2016 23:59:59	PУТЕКТОР	Дилер	5	180 181,91
ЗЧ и РМ	27.06.2016 23:59:59	PУТЕКТОР	Розница	21	389 686,28
Компрессорное	27.06.2016 23:59:59	PУТЕКТОР	Дилер	7	841 465,06
Компрессорное	27.06.2016 23:59:59	PУТЕКТОР	Розница	7	783 635,04
Насосное	27.06.2016 23:59:59	PУТЕКТОР	Дилер	8	782 214,25
Насосное	27.06.2016 23:59:59	PУТЕКТОР	Розница	5	351 001,91
Подготовка поверхности	27.06.2016 23:59:59	PУТЕКТОР	Розница	1	75 000,00
Сварочное	27.06.2016 23:59:59	PУТЕКТОР	Дилер	3	51 950,61
Сварочное	27.06.2016 23:59:59	PУТЕКТОР	Розница	7	1 871 661,59
Строительное	27.06.2016 23:59:59	PУТЕКТОР	Дилер	1	39 300,00
Химическое	27.06.2016 23:59:59	PУТЕКТОР	Розница	2	780 100,95
ЗЧ и РМ	27.06.2016 23:59:59	Рутектор	КПК	1	35 276,27
Подготовка поверхности	27.06.2016 23:59:59	Рутектор	КПК	1	36 623,16
Химическое	27.06.2016 23:59:59	Рутектор	Розница	1	87 585,10
Автосервис	28.06.2016 23:59:59	PУТЕКТОР	Розница	1	3 950,00
Дуговая сварка.	28.06.2016 23:59:59	PУТЕКТОР	КПК	1	12 895,04
Дуговая сварка.	28.06.2016 23:59:59	PУТЕКТОР	Розница	1	9 951,00
ЗЧ и РМ	28.06.2016 23:59:59	PУТЕКТОР	Дилер	10	92 773,51
ЗЧ и РМ	28.06.2016 23:59:59	PУТЕКТОР	Розница	8	107 052,35
Компрессорное	28.06.2016 23:59:59	PУТЕКТОР	Дилер	5	426 549,65
Компрессорное	28.06.2016 23:59:59	PУТЕКТОР	Розница	6	1 623 058,24
Насосное	28.06.2016 23:59:59	PУТЕКТОР	Дилер	18	959 708,20
Насосное	28.06.2016 23:59:59	PУТЕКТОР	Розница	8	848 161,44
НГО	28.06.2016 23:59:59	PУТЕКТОР	КПК	1	121 516,40
Подготовка поверхности	28.06.2016 23:59:59	PУТЕКТОР	Дилер	1	129 927,25
Сварочное	28.06.2016 23:59:59	PУТЕКТОР	Дилер	1	3 956,81
Сварочное	28.06.2016 23:59:59	PУТЕКТОР	Розница	6	519 627,34
Строительное	28.06.2016 23:59:59	PУТЕКТОР	Дилер	1	69 222,56
Строительное	28.06.2016 23:59:59	PУТЕКТОР	Розница	2	13 870,00
Химическое	28.06.2016 23:59:59	PУТЕКТОР	Розница	2	91 143,27
ЗЧ и РМ	28.06.2016 23:59:59	Рутектор	Дилер	2	78 203,19
ЗЧ и РМ	28.06.2016 23:59:59	Рутектор	КПК	1	325 512,00
ЗЧ и РМ	28.06.2016 23:59:59	Рутектор	Розница	1	7 680,00
Сварочное	28.06.2016 23:59:59	Рутектор	Розница	2	84 380,67
Дуговая сварка.	29.06.2016 23:59:59	PУТЕКТОР	Розница	1	36 707,37
ЗЧ и РМ	29.06.2016 23:59:59	PУТЕКТОР	Дилер	7	73 268,63
ЗЧ и РМ	29.06.2016 23:59:59	PУТЕКТОР	Розница	13	115 025,64
Компрессорное	29.06.2016 23:59:59	PУТЕКТОР	Дилер	4	386 460,00
Компрессорное	29.06.2016 23:59:59	PУТЕКТОР	Розница	4	386 774,00
Насосное	29.06.2016 23:59:59	PУТЕКТОР	Дилер	12	1 450 045,71
Насосное	29.06.2016 23:59:59	PУТЕКТОР	Розница	7	828 346,51
Подготовка поверхности	29.06.2016 23:59:59	PУТЕКТОР	Розница	2	14 171,44
Сварочное	29.06.2016 23:59:59	PУТЕКТОР	Дилер	2	41 587,77
Сварочное	29.06.2016 23:59:59	PУТЕКТОР	Розница	2	224 073,76
Химическое	29.06.2016 23:59:59	PУТЕКТОР	Розница	3	948 433,13
Дуговая сварка.	30.06.2016 23:59:59	PУТЕКТОР	Розница	1	326 547,82
ЗЧ и РМ	30.06.2016 23:59:59	PУТЕКТОР	Дилер	5	64 592,91
ЗЧ и РМ	30.06.2016 23:59:59	PУТЕКТОР	Розница	12	395 616,99
Компрессорное	30.06.2016 23:59:59	PУТЕКТОР	Дилер	5	468 421,24
Компрессорное	30.06.2016 23:59:59	PУТЕКТОР	Розница	7	529 808,08
Насосное	30.06.2016 23:59:59	PУТЕКТОР	Дилер	15	4 148 086,99
Насосное	30.06.2016 23:59:59	PУТЕКТОР	Розница	12	1 616 400,58
Подготовка поверхности	30.06.2016 23:59:59	PУТЕКТОР	Розница	1	22 200,00
Сварочное	30.06.2016 23:59:59	PУТЕКТОР	Дилер	3	107 245,08
Сварочное	30.06.2016 23:59:59	PУТЕКТОР	Розница	4	1 301 454,00
Строительное	30.06.2016 23:59:59	PУТЕКТОР	Дилер	1	37 654,90
Строительное	30.06.2016 23:59:59	PУТЕКТОР	КПК	1	6 030 000,00
Химическое	30.06.2016 23:59:59	PУТЕКТОР	Розница	1	112 234,40
ЗЧ и РМ	30.06.2016 23:59:59	Рутектор	КПК	3	421 004,52
ЗЧ и РМ	30.06.2016 23:59:59	Рутектор	Розница	1	60 303,65
Сварочное	30.06.2016 23:59:59	Рутектор	КПК	1	125 963,20
Сварочное	30.06.2016 23:59:59	Рутектор	Розница	1	388 095,59
Строительное	30.06.2016 23:59:59	Рутектор	КПК	1	2 820 000,00
Строительное	30.06.2016 23:59:59	Рутектор	Розница	1	114 000,00
Дуговая сварка.	01.07.2016 23:59:59	PУТЕКТОР	Розница	2	190 066,68
ЗЧ и РМ	01.07.2016 23:59:59	PУТЕКТОР	Дилер	5	111 578,40
ЗЧ и РМ	01.07.2016 23:59:59	PУТЕКТОР	Розница	16	184 488,70
Компрессорное	01.07.2016 23:59:59	PУТЕКТОР	Дилер	5	352 495,81
Компрессорное	01.07.2016 23:59:59	PУТЕКТОР	Розница	2	373 942,46
Насосное	01.07.2016 23:59:59	PУТЕКТОР	Дилер	16	2 092 032,75
Насосное	01.07.2016 23:59:59	PУТЕКТОР	Розница	5	521 982,20
Сварочное	01.07.2016 23:59:59	PУТЕКТОР	Дилер	2	400 193,88
Сварочное	01.07.2016 23:59:59	PУТЕКТОР	Розница	4	221 553,85
Строительное	01.07.2016 23:59:59	PУТЕКТОР	Розница	1	166 500,00
Химическое	01.07.2016 23:59:59	PУТЕКТОР	Дилер	1	108 193,65
Химическое	01.07.2016 23:59:59	PУТЕКТОР	Розница	2	69 502,44
ЗЧ и РМ	01.07.2016 23:59:59	Рутектор	Розница	1	23 948,61
Автосервис	04.07.2016 23:59:59	PУТЕКТОР	Розница	1	7 500,00
АТП	04.07.2016 23:59:59	PУТЕКТОР	Розница	1	38 140,66
Дуговая сварка.	04.07.2016 23:59:59	PУТЕКТОР	Розница	1	59 769,57
ЗЧ и РМ	04.07.2016 23:59:59	PУТЕКТОР	Дилер	8	40 411,39
ЗЧ и РМ	04.07.2016 23:59:59	PУТЕКТОР	Розница	21	1 713 618,41
Компрессорное	04.07.2016 23:59:59	PУТЕКТОР	Дилер	6	297 554,20
Компрессорное	04.07.2016 23:59:59	PУТЕКТОР	Розница	10	2 030 682,87
Насосное	04.07.2016 23:59:59	PУТЕКТОР	Дилер	9	231 089,20
Насосное	04.07.2016 23:59:59	PУТЕКТОР	КПК	1	236 735,00
Насосное	04.07.2016 23:59:59	PУТЕКТОР	Розница	12	1 227 724,52
Подготовка поверхности	04.07.2016 23:59:59	PУТЕКТОР	Розница	3	846 593,99
Сварочное	04.07.2016 23:59:59	PУТЕКТОР	Дилер	2	45 335,43
Сварочное	04.07.2016 23:59:59	PУТЕКТОР	КПК	1	259 623,64
Сварочное	04.07.2016 23:59:59	PУТЕКТОР	Розница	4	166 136,90
Строительное	04.07.2016 23:59:59	PУТЕКТОР	Дилер	1	68 113,56
Химическое	04.07.2016 23:59:59	PУТЕКТОР	Розница	3	466 656,09
ЗЧ и РМ	04.07.2016 23:59:59	Рутектор	КПК	1	823 873,28
ЗЧ и РМ	04.07.2016 23:59:59	Рутектор	Розница	1	64 473,92
Химическое	04.07.2016 23:59:59	Рутектор	Розница	1	272 987,08
Дуговая сварка.	05.07.2016 23:59:59	PУТЕКТОР	Дилер	1	379 559,02
ЗЧ и РМ	05.07.2016 23:59:59	PУТЕКТОР	Дилер	11	231 722,83
ЗЧ и РМ	05.07.2016 23:59:59	PУТЕКТОР	КПК	1	377 128,75
ЗЧ и РМ	05.07.2016 23:59:59	PУТЕКТОР	Розница	18	304 245,61
Компрессорное	05.07.2016 23:59:59	PУТЕКТОР	Дилер	2	63 114,51
Компрессорное	05.07.2016 23:59:59	PУТЕКТОР	Розница	3	781 920,00
Насосное	05.07.2016 23:59:59	PУТЕКТОР	Дилер	11	1 132 670,22
Насосное	05.07.2016 23:59:59	PУТЕКТОР	Розница	14	2 324 556,88
НГО	05.07.2016 23:59:59	PУТЕКТОР	КПК	1	2 548 767,00
НГО	05.07.2016 23:59:59	PУТЕКТОР	Розница	1	2 548 767,00
Подготовка поверхности	05.07.2016 23:59:59	PУТЕКТОР	Розница	1	14 800,00
Сварочное	05.07.2016 23:59:59	PУТЕКТОР	Дилер	4	437 977,16
Сварочное	05.07.2016 23:59:59	PУТЕКТОР	Розница	9	1 361 972,52
Строительное	05.07.2016 23:59:59	PУТЕКТОР	Дилер	1	7 140,00
Строительное	05.07.2016 23:59:59	PУТЕКТОР	Розница	1	75 784,44
Химическое	05.07.2016 23:59:59	PУТЕКТОР	Дилер	1	78 224,25
Химическое	05.07.2016 23:59:59	PУТЕКТОР	Розница	2	420 147,84
ЗЧ и РМ	05.07.2016 23:59:59	Рутектор	КПК	5	771 683,87
НГО	05.07.2016 23:59:59	Рутектор	КПК	1	593 538,61
АТП	06.07.2016 23:59:59	PУТЕКТОР	Розница	1	40 575,63
Дуговая сварка.	06.07.2016 23:59:59	PУТЕКТОР	Дилер	1	5 113,86
Дуговая сварка.	06.07.2016 23:59:59	PУТЕКТОР	Розница	2	241 986,11
ЗЧ и РМ	06.07.2016 23:59:59	PУТЕКТОР	Дилер	10	242 785,94
ЗЧ и РМ	06.07.2016 23:59:59	PУТЕКТОР	Розница	19	822 477,87
Компрессорное	06.07.2016 23:59:59	PУТЕКТОР	Дилер	6	282 255,51
Компрессорное	06.07.2016 23:59:59	PУТЕКТОР	Розница	8	1 091 725,54
Насосное	06.07.2016 23:59:59	PУТЕКТОР	Дилер	16	1 731 535,97
Насосное	06.07.2016 23:59:59	PУТЕКТОР	Розница	15	4 739 626,04
Подготовка поверхности	06.07.2016 23:59:59	PУТЕКТОР	Дилер	1	62 750,25
Подготовка поверхности	06.07.2016 23:59:59	PУТЕКТОР	Розница	2	20 620,00
Сварочное	06.07.2016 23:59:59	PУТЕКТОР	Дилер	2	45 486,76
Сварочное	06.07.2016 23:59:59	PУТЕКТОР	Розница	6	3 824 819,03
Строительное	06.07.2016 23:59:59	PУТЕКТОР	Дилер	2	145 064,65
Химическое	06.07.2016 23:59:59	PУТЕКТОР	Розница	3	424 389,36
Дуговая сварка.	06.07.2016 23:59:59	Рутектор	Розница	1	51 576,00
Насосное	06.07.2016 23:59:59	Рутектор	КПК	1	37 920,00
Насосное	06.07.2016 23:59:59	Рутектор	Розница	1	61 317,59
Сварочное	06.07.2016 23:59:59	Рутектор	Розница	1	242 852,04
Автосервис	07.07.2016 23:59:59	PУТЕКТОР	Розница	1	99 000,00
Дуговая сварка.	07.07.2016 23:59:59	PУТЕКТОР	Дилер	1	26 460,00
ЗЧ и РМ	07.07.2016 23:59:59	PУТЕКТОР	Дилер	7	170 105,65
ЗЧ и РМ	07.07.2016 23:59:59	PУТЕКТОР	Розница	22	201 993,57
Компрессорное	07.07.2016 23:59:59	PУТЕКТОР	Дилер	2	161 363,06
Компрессорное	07.07.2016 23:59:59	PУТЕКТОР	Розница	3	1 296 700,00
Насосное	07.07.2016 23:59:59	PУТЕКТОР	Дилер	10	1 448 952,19
Насосное	07.07.2016 23:59:59	PУТЕКТОР	Розница	10	1 287 730,88
Подготовка поверхности	07.07.2016 23:59:59	PУТЕКТОР	Дилер	3	124 699,57
Подготовка поверхности	07.07.2016 23:59:59	PУТЕКТОР	Розница	3	74 362,78
Сварочное	07.07.2016 23:59:59	PУТЕКТОР	Дилер	5	1 076 427,64
Строительное	07.07.2016 23:59:59	PУТЕКТОР	Дилер	1	38 800,00
Химическое	07.07.2016 23:59:59	PУТЕКТОР	Дилер	2	703 371,03
Химическое	07.07.2016 23:59:59	PУТЕКТОР	Розница	3	239 031,73
ЗЧ и РМ	07.07.2016 23:59:59	Рутектор	КПК	1	91 841,67
Подготовка поверхности	07.07.2016 23:59:59	Рутектор	КПК	1	36 227,90
Дуговая сварка.	08.07.2016 23:59:59	PУТЕКТОР	Розница	2	16 227,16
ЗЧ и РМ	08.07.2016 23:59:59	PУТЕКТОР	Дилер	8	131 800,57
ЗЧ и РМ	08.07.2016 23:59:59	PУТЕКТОР	Розница	11	205 961,77
Компрессорное	08.07.2016 23:59:59	PУТЕКТОР	Дилер	5	552 421,85
Компрессорное	08.07.2016 23:59:59	PУТЕКТОР	Розница	1	1 146 000,00
Насосное	08.07.2016 23:59:59	PУТЕКТОР	Дилер	20	1 211 245,62
Насосное	08.07.2016 23:59:59	PУТЕКТОР	Розница	12	2 995 841,03
Подготовка поверхности	08.07.2016 23:59:59	PУТЕКТОР	Дилер	1	37 740,00
Подготовка поверхности	08.07.2016 23:59:59	PУТЕКТОР	Розница	2	90 319,75
Сварочное	08.07.2016 23:59:59	PУТЕКТОР	Дилер	5	913 259,42
Сварочное	08.07.2016 23:59:59	PУТЕКТОР	Розница	1	424 220,00
Строительное	08.07.2016 23:59:59	PУТЕКТОР	Дилер	1	6 938,73
Строительное	08.07.2016 23:59:59	PУТЕКТОР	КПК	1	360 000,00
Строительное	08.07.2016 23:59:59	PУТЕКТОР	Розница	1	20 500,00
Насосное	08.07.2016 23:59:59	Рутектор	Розница	1	81 595,00
Автосервис	11.07.2016 23:59:59	PУТЕКТОР	Дилер	1	12 864,00
Автосервис	11.07.2016 23:59:59	PУТЕКТОР	Розница	1	10 000,00
Дуговая сварка.	11.07.2016 23:59:59	PУТЕКТОР	Розница	1	431 128,56
ЗЧ и РМ	11.07.2016 23:59:59	PУТЕКТОР	Дилер	7	89 918,13
ЗЧ и РМ	11.07.2016 23:59:59	PУТЕКТОР	Розница	15	528 458,68
Компрессорное	11.07.2016 23:59:59	PУТЕКТОР	Дилер	6	561 603,83
Компрессорное	11.07.2016 23:59:59	PУТЕКТОР	Розница	3	214 426,10
Насосное	11.07.2016 23:59:59	PУТЕКТОР	Дилер	11	1 209 114,82
Насосное	11.07.2016 23:59:59	PУТЕКТОР	Розница	16	3 539 880,01
Подготовка поверхности	11.07.2016 23:59:59	PУТЕКТОР	Дилер	2	70 400,00
Подготовка поверхности	11.07.2016 23:59:59	PУТЕКТОР	Розница	1	20 711,71
Сварочное	11.07.2016 23:59:59	PУТЕКТОР	Дилер	3	233 898,50
Сварочное	11.07.2016 23:59:59	PУТЕКТОР	КПК	2	164 697,96
Сварочное	11.07.2016 23:59:59	PУТЕКТОР	Розница	1	2 160,00
Химическое	11.07.2016 23:59:59	PУТЕКТОР	Розница	4	348 448,82
ЗЧ и РМ	11.07.2016 23:59:59	Рутектор	КПК	1	42 416,38
АТП	12.07.2016 23:59:59	PУТЕКТОР	Розница	1	201 823,32
Дуговая сварка.	12.07.2016 23:59:59	PУТЕКТОР	Розница	1	101 600,98
ЗЧ и РМ	12.07.2016 23:59:59	PУТЕКТОР	Дилер	9	129 930,10
ЗЧ и РМ	12.07.2016 23:59:59	PУТЕКТОР	КПК	1	5 800,47
ЗЧ и РМ	12.07.2016 23:59:59	PУТЕКТОР	Розница	13	271 954,44
Компрессорное	12.07.2016 23:59:59	PУТЕКТОР	Дилер	3	362 110,00
Компрессорное	12.07.2016 23:59:59	PУТЕКТОР	Розница	5	389 222,75
Насосное	12.07.2016 23:59:59	PУТЕКТОР	Дилер	10	614 538,33
Насосное	12.07.2016 23:59:59	PУТЕКТОР	Розница	13	712 589,57
Подготовка поверхности	12.07.2016 23:59:59	PУТЕКТОР	Дилер	3	67 560,32
Подготовка поверхности	12.07.2016 23:59:59	PУТЕКТОР	Розница	2	140 851,43
Сварочное	12.07.2016 23:59:59	PУТЕКТОР	Дилер	3	214 909,97
Сварочное	12.07.2016 23:59:59	PУТЕКТОР	Розница	5	1 648 684,93
