
Параметры:	Период: 01.04.2016 - 27.08.2017
Отбор:	Направление В списке "Автосервис; АТП; Дуговая сварка.; ЗЧ и РМ; Компрессорное; Металлообработка; Насосное; НГО; Подготовка поверхности; Сварочное;..."
	
Направление	Заказ.Дата.Конец дня	Организация	Канал сбыта	Количество заказов	Сумма Руб.
Химическое	06.04.2016 23:59:59	PУТЕКТОР	Розница	2	87 012,69
Компрессорное	06.04.2016 23:59:59	Рутектор	Дилер	1	4 987,99
Сварочное	06.04.2016 23:59:59	Рутектор	КПК	1	143 993,04
Дуговая сварка.	07.04.2016 23:59:59	PУТЕКТОР	Дилер	1	7 781,30
Дуговая сварка.	07.04.2016 23:59:59	PУТЕКТОР	Розница	3	207 257,88
ЗЧ и РМ	07.04.2016 23:59:59	PУТЕКТОР	Дилер	12	211 972,67
ЗЧ и РМ	07.04.2016 23:59:59	PУТЕКТОР	Розница	15	249 822,35
Компрессорное	07.04.2016 23:59:59	PУТЕКТОР	Дилер	10	850 660,27
Компрессорное	07.04.2016 23:59:59	PУТЕКТОР	Розница	8	1 814 447,69
Насосное	07.04.2016 23:59:59	PУТЕКТОР	Дилер	17	2 464 890,18
Насосное	07.04.2016 23:59:59	PУТЕКТОР	Розница	10	1 007 125,38
Подготовка поверхности	07.04.2016 23:59:59	PУТЕКТОР	Дилер	3	136 076,26
Подготовка поверхности	07.04.2016 23:59:59	PУТЕКТОР	Розница	5	82 032,24
Сварочное	07.04.2016 23:59:59	PУТЕКТОР	Дилер	6	840 058,25
Сварочное	07.04.2016 23:59:59	PУТЕКТОР	Розница	9	2 699 373,28
Строительное	07.04.2016 23:59:59	PУТЕКТОР	Дилер	1	8 396,88
Строительное	07.04.2016 23:59:59	PУТЕКТОР	Розница	1	20 000,00
Химическое	07.04.2016 23:59:59	PУТЕКТОР	Дилер	1	92 186,62
Химическое	07.04.2016 23:59:59	PУТЕКТОР	Розница	2	46 552,41
ЗЧ и РМ	07.04.2016 23:59:59	Рутектор	Розница	3	143 096,00
Сварочное	07.04.2016 23:59:59	Рутектор	Розница	1	1 014 735,99
Химическое	07.04.2016 23:59:59	Рутектор	Розница	1	382 886,65
Дуговая сварка.	08.04.2016 23:59:59	PУТЕКТОР	Розница	3	238 302,18
ЗЧ и РМ	08.04.2016 23:59:59	PУТЕКТОР	Дилер	8	176 453,54
ЗЧ и РМ	08.04.2016 23:59:59	PУТЕКТОР	Розница	15	221 467,38
Компрессорное	08.04.2016 23:59:59	PУТЕКТОР	Дилер	5	271 939,86
Насосное	08.04.2016 23:59:59	PУТЕКТОР	Дилер	10	908 387,08
Насосное	08.04.2016 23:59:59	PУТЕКТОР	Розница	6	663 874,66
Подготовка поверхности	08.04.2016 23:59:59	PУТЕКТОР	Розница	3	87 872,24
Сварочное	08.04.2016 23:59:59	PУТЕКТОР	Дилер	3	118 805,96
Химическое	08.04.2016 23:59:59	PУТЕКТОР	Дилер	1	28 484,10
Химическое	08.04.2016 23:59:59	PУТЕКТОР	Розница	2	87 640,96
Насосное	08.04.2016 23:59:59	Рутектор	КПК	1	417 537,00
Сварочное	08.04.2016 23:59:59	Рутектор	Розница	1	3 214,32
Автосервис	11.04.2016 23:59:59	PУТЕКТОР	Розница	1	11 665,66
Дуговая сварка.	11.04.2016 23:59:59	PУТЕКТОР	Дилер	2	21 840,49
Дуговая сварка.	11.04.2016 23:59:59	PУТЕКТОР	Розница	3	412 372,04
ЗЧ и РМ	11.04.2016 23:59:59	PУТЕКТОР	Дилер	11	331 779,93
ЗЧ и РМ	11.04.2016 23:59:59	PУТЕКТОР	Розница	20	828 538,80
Компрессорное	11.04.2016 23:59:59	PУТЕКТОР	Дилер	1	166 499,18
Компрессорное	11.04.2016 23:59:59	PУТЕКТОР	Розница	5	1 929 402,39
Насосное	11.04.2016 23:59:59	PУТЕКТОР	Дилер	9	418 988,92
Насосное	11.04.2016 23:59:59	PУТЕКТОР	Розница	7	806 194,42
Подготовка поверхности	11.04.2016 23:59:59	PУТЕКТОР	Дилер	3	703 998,62
Подготовка поверхности	11.04.2016 23:59:59	PУТЕКТОР	Розница	5	68 714,94
Сварочное	11.04.2016 23:59:59	PУТЕКТОР	Дилер	7	528 186,44
Сварочное	11.04.2016 23:59:59	PУТЕКТОР	Розница	6	601 081,61
Строительное	11.04.2016 23:59:59	PУТЕКТОР	Розница	2	26 168,86
Химическое	11.04.2016 23:59:59	PУТЕКТОР	Дилер	3	359 527,83
Химическое	11.04.2016 23:59:59	PУТЕКТОР	Розница	6	434 294,85
ЗЧ и РМ	11.04.2016 23:59:59	Рутектор	КПК	1	76 584,36
Сварочное	11.04.2016 23:59:59	Рутектор	Розница	1	9 982,80
Химическое	11.04.2016 23:59:59	Рутектор	Розница	1	16 831,66
Дуговая сварка.	12.04.2016 23:59:59	PУТЕКТОР	Розница	1	56 676,58
ЗЧ и РМ	12.04.2016 23:59:59	PУТЕКТОР	Дилер	8	83 918,54
ЗЧ и РМ	12.04.2016 23:59:59	PУТЕКТОР	Розница	18	316 427,17
Компрессорное	12.04.2016 23:59:59	PУТЕКТОР	Дилер	6	351 656,74
Компрессорное	12.04.2016 23:59:59	PУТЕКТОР	Розница	7	289 973,28
Насосное	12.04.2016 23:59:59	PУТЕКТОР	Дилер	10	963 111,85
Насосное	12.04.2016 23:59:59	PУТЕКТОР	Розница	4	773 242,28
Подготовка поверхности	12.04.2016 23:59:59	PУТЕКТОР	Дилер	1	898 316,54
Подготовка поверхности	12.04.2016 23:59:59	PУТЕКТОР	Розница	8	1 322 174,72
Сварочное	12.04.2016 23:59:59	PУТЕКТОР	Дилер	8	3 399 354,12
Сварочное	12.04.2016 23:59:59	PУТЕКТОР	Розница	5	262 587,54
Строительное	12.04.2016 23:59:59	PУТЕКТОР	Розница	2	129 360,00
ЗЧ и РМ	12.04.2016 23:59:59	Рутектор	Дилер	1	30 402,70
ЗЧ и РМ	12.04.2016 23:59:59	Рутектор	Розница	4	193 634,46
Сварочное	12.04.2016 23:59:59	Рутектор	Розница	1	13 725,76
Автосервис	13.04.2016 23:59:59	PУТЕКТОР	Розница	1	44 696,04
Дуговая сварка.	13.04.2016 23:59:59	PУТЕКТОР	Дилер	2	217 980,67
