Пользователь	Югин Дмитрий
Компьютер	Progr10
Дата и время	25.09.2017 11:11:59
	
Параметры:	Период запроса: 01.01.2017 - 31.12.2017
	
День	ID Интернет заказа	Код товара	Количество отгрузок	Сумма отгрузок	Количество возвратов	Сумма возвратов
27.04.2017	2 966 994	124 724			1	5 895
19.04.2017	2 966 994	124 724	1	5 895		
08.02.2017	1 453 260	124 724	1	4 965		
13.01.2017	1 026 566	124 724	2	19 990		
20.06.2017	5 627 155	131 931	1	5 750		
25.04.2017	1 346 055	52 984	1	7 500		
14.03.2017	855 368	52 984			1	7 770
13.03.2017	855 368	52 984	1	7 770		
26.04.2017	1 346 055	52 984			1	7 500
16.01.2017	4 349 285	132 754			1	1 140
13.01.2017	4 349 285	132 754	1	1 140		
08.03.2017	5 317 707	132 938	1	615		
28.07.2017	4 447 903	132 938	1	675		
31.03.2017	2 802 336	132 938	1	615		
17.02.2017	4 266 193	132 938			1	615
16.02.2017	4 266 193	132 938	1	615		
24.04.2017	5 459 034	132 938	1	735		
08.02.2017	3 937 242	132 938	1	615		
28.07.2017	4 447 903	132 938			1	675
17.08.2017	5 627 273	139 865	1	5 015		
18.08.2017	5 627 273	139 865			1	5 015
23.08.2017	1 010 067	95 746	1	4 525		
16.03.2017	5 997 735	124 321	1	15 675		
17.03.2017	5 997 735	124 321			1	15 675
26.05.2017	4 389 916	131 430	1	590		
12.01.2017	3 774 284	131 455	1	1 490		
16.01.2017	4 296 585	131 455	1	1 490		
24.03.2017	3 953 939	131 455	1	1 490		
24.07.2017	602 082	131 455	1	1 640		
08.06.2017	5 178 669	131 486	1	1 575		
30.01.2017	5 111 288	131 486	1	970		
23.01.2017	1 295 757	131 486	1	1 140		
06.04.2017	2 059 398	131 486	1	1 140		
30.08.2017	3 511 236	131 627	1	2 850		
02.08.2017	4 804 531	138 563	1	1 955		
21.08.2017	963 393	138 703	1	3 140		
07.03.2017	2 070 995	103 989	1	5 485		
09.08.2017	2 987 396	104 110	1	6 435		
01.02.2017	1 031 774	132 375	1	2 435		
17.02.2017	1 051 229	132 383	1	1 280		
16.02.2017	3 311 275	132 649	1	2 975		
09.06.2017	3 446 533	139 692			1	3 950
08.06.2017	3 446 533	139 692	1	3 950		
16.03.2017	815 914	132 721	1	1 490		
27.07.2017	1 249 409	132 721	1	1 640		
01.08.2017	4 500 189	132 809	1	675		
03.08.2017	2 273 366	132 817	1	675		
18.01.2017	5 125 944	132 904	1	1 750		
13.01.2017	4 947 521	132 904	1	1 750		
02.06.2017	3 793 886	132 963	1	420		
06.03.2017	2 228 404	103 565			1	15 915
02.03.2017	2 228 404	103 565	1	15 915		
07.02.2017	3 848 779	124 712	2	32 055		
08.02.2017	3 848 779	124 712			1	17 150
11.04.2017	5 471 840	124 712			1	12 880
07.04.2017	5 471 840	124 712			1	15 395
06.04.2017	5 471 840	124 712	1	15 440		
07.04.2017	5 471 840	124 712			1	15 440
13.04.2017	5 471 840	124 712	1	12 880		
06.04.2017	5 471 840	124 712	2	30 545		
11.04.2017	5 957 620	124 712			1	13 880
10.04.2017	5 957 620	124 712	1	13 880		
02.02.2017	4 173 632	124 787	1	3 790		
20.03.2017	4 173 632	124 787			1	3 790
08.03.2017	5 589 218	131 726			1	11 400
07.03.2017	5 589 218	131 726	1	11 400		
18.01.2017	3 563 776	131 726	1	10 000		
06.04.2017	2 987 103	131 863	1	16 585		
07.04.2017	2 987 103	131 863			1	16 585
