
Параметры:	Период: 01.04.2016 - 27.08.2017
Отбор:	Направление В списке "Автосервис; АТП; Дуговая сварка.; ЗЧ и РМ; Компрессорное; Металлообработка; Насосное; Подготовка поверхности; Сварочное; Строительное;..."
	
Направление	Документ оплаты.Дата.Конец дня	Канал сбыта	Сумма Руб.	Сумма оплаты Руб.	Количество заказов
Химическое	15.07.2016 23:59:59	Розница	35 809,11	35 809,11	1
Автосервис	18.07.2016 23:59:59	Розница	120 300,00	120 300,00	1
ЗЧ и РМ	18.07.2016 23:59:59	Дилер	77 190,66	77 216,37	7
ЗЧ и РМ	18.07.2016 23:59:59	Розница	197 725,51	198 911,98	10
Компрессорное	18.07.2016 23:59:59	Дилер	220 486,67	225 205,85	3
Компрессорное	18.07.2016 23:59:59	Розница	218 751,72	218 751,66	3
Насосное	18.07.2016 23:59:59	Дилер	785 744,62	798 731,25	18
Насосное	18.07.2016 23:59:59	Розница	617 280,04	456 576,64	6
Подготовка поверхности	18.07.2016 23:59:59	Дилер	277 548,62	253 652,00	3
Сварочное	18.07.2016 23:59:59	Дилер	343 239,17	343 550,64	2
Сварочное	18.07.2016 23:59:59	Розница	146 522,48	146 522,48	5
Химическое	18.07.2016 23:59:59	Дилер	310 734,31	313 587,56	2
Химическое	18.07.2016 23:59:59	Розница	40 142,69	40 196,45	2
АТП	19.07.2016 23:59:59	Розница	312 885,92	313 111,27	1
Дуговая сварка.	19.07.2016 23:59:59	Дилер	50 866,79	54 211,41	2
Дуговая сварка.	19.07.2016 23:59:59	Розница	107 280,16	107 280,16	3
ЗЧ и РМ	19.07.2016 23:59:59	Дилер	59 472,07	57 509,69	5
ЗЧ и РМ	19.07.2016 23:59:59	Розница	219 455,72	219 511,41	8
Компрессорное	19.07.2016 23:59:59	Дилер	257 625,84	257 717,48	3
Компрессорное	19.07.2016 23:59:59	Розница	1 261 840,45	1 261 926,84	4
Металлообработка	19.07.2016 23:59:59	Розница	2 326 013,21	2 316 571,56	3
Насосное	19.07.2016 23:59:59	Дилер	1 046 484,96	1 059 963,27	19
Насосное	19.07.2016 23:59:59	КПК	204 000,00	204 000,00	1
Насосное	19.07.2016 23:59:59	Розница	177 171,70	177 171,70	5
Подготовка поверхности	19.07.2016 23:59:59	Дилер	84 036,00	84 036,00	3
Подготовка поверхности	19.07.2016 23:59:59	Розница	45 747,03	45 747,03	2
Сварочное	19.07.2016 23:59:59	Дилер	187 223,26	188 988,03	3
Сварочное	19.07.2016 23:59:59	Розница	52 133,26	53 090,21	3
Химическое	19.07.2016 23:59:59	Розница	117 992,19	118 118,48	2
Автосервис	20.07.2016 23:59:59	Розница	610 000,00	337 950,00	3
Дуговая сварка.	20.07.2016 23:59:59	Дилер	87 194,47	93 538,81	1
Дуговая сварка.	20.07.2016 23:59:59	Розница	23 481,47	23 481,47	1
ЗЧ и РМ	20.07.2016 23:59:59	Дилер	63 812,18	63 912,84	8
ЗЧ и РМ	20.07.2016 23:59:59	КПК	93 430,47	93 430,47	2
ЗЧ и РМ	20.07.2016 23:59:59	Розница	258 074,90	258 074,90	13
Компрессорное	20.07.2016 23:59:59	Дилер	1 096 716,84	348 803,31	4
Компрессорное	20.07.2016 23:59:59	Розница	652 832,85	652 832,85	6
Насосное	20.07.2016 23:59:59	Дилер	857 150,19	861 142,21	16
Насосное	20.07.2016 23:59:59	Розница	179 923,10	179 923,10	6
Подготовка поверхности	20.07.2016 23:59:59	Розница	433 464,94	433 464,94	4
Сварочное	20.07.2016 23:59:59	Дилер	43 527,34	43 525,43	2
Сварочное	20.07.2016 23:59:59	Розница	7 670,91	7 670,91	2
Химическое	20.07.2016 23:59:59	Розница	246 629,69	246 626,76	3
Автосервис	21.07.2016 23:59:59	Розница	115 828,50	115 828,50	2
Дуговая сварка.	21.07.2016 23:59:59	Дилер	118 233,81	126 836,60	1
ЗЧ и РМ	21.07.2016 23:59:59	Дилер	103 132,85	103 129,90	8
ЗЧ и РМ	21.07.2016 23:59:59	КПК	16 377,29	16 376,63	1
ЗЧ и РМ	21.07.2016 23:59:59	Розница	467 699,03	467 425,81	12
Компрессорное	21.07.2016 23:59:59	Дилер	444 250,86	444 947,21	8
Компрессорное	21.07.2016 23:59:59	Розница	1 568 852,44	1 577 031,68	6
Насосное	21.07.2016 23:59:59	Дилер	1 181 054,41	1 183 544,39	26
Насосное	21.07.2016 23:59:59	Розница	556 543,70	556 543,70	8
НГО	21.07.2016 23:59:59	КПК	3 583 382,67	3 665 138,99	2
Подготовка поверхности	21.07.2016 23:59:59	Розница	250 581,67	250 581,67	1
Сварочное	21.07.2016 23:59:59	Дилер	187 714,69	187 707,16	6
Сварочное	21.07.2016 23:59:59	Розница	2 133 782,23	2 153 905,57	3
Химическое	21.07.2016 23:59:59	Дилер	23 279,63	23 278,70	1
Химическое	21.07.2016 23:59:59	Розница	342 005,40	339 611,48	2
Дуговая сварка.	22.07.2016 23:59:59	Розница	247 105,63	254 492,49	3
ЗЧ и РМ	22.07.2016 23:59:59	Дилер	67 805,19	67 817,78	5
ЗЧ и РМ	22.07.2016 23:59:59	Розница	105 368,43	95 302,96	8
Компрессорное	22.07.2016 23:59:59	Дилер	93 603,05	93 603,05	1
Компрессорное	22.07.2016 23:59:59	Розница	279 192,27	283 237,82	5
Насосное	22.07.2016 23:59:59	Дилер	622 713,33	627 888,24	8
Насосное	22.07.2016 23:59:59	Розница	335 818,50	336 334,41	6
Подготовка поверхности	22.07.2016 23:59:59	Розница	20 711,71	20 711,71	1
Сварочное	22.07.2016 23:59:59	Дилер	283 535,35	288 441,47	6
Сварочное	22.07.2016 23:59:59	Розница	1 197 172,95	1 212 251,74	4
Строительное	22.07.2016 23:59:59	Дилер	74 453,05	79 336,49	2
Химическое	22.07.2016 23:59:59	Дилер	590 877,51	595 986,90	1
Химическое	22.07.2016 23:59:59	Розница	188 777,64	189 682,66	2
Дуговая сварка.	25.07.2016 23:59:59	Розница	129 284,45	129 284,45	2
ЗЧ и РМ	25.07.2016 23:59:59	Дилер	137 947,83	138 827,13	8
ЗЧ и РМ	25.07.2016 23:59:59	Розница	221 252,27	221 889,75	11
Компрессорное	25.07.2016 23:59:59	Дилер	32 571,27	32 616,54	2
Компрессорное	25.07.2016 23:59:59	Розница	732 050,55	629 858,43	4
Насосное	25.07.2016 23:59:59	Дилер	250 751,37	255 471,76	9
Насосное	25.07.2016 23:59:59	Розница	579 718,82	580 452,58	8
Подготовка поверхности	25.07.2016 23:59:59	Розница	389 565,49	389 565,49	2
Сварочное	25.07.2016 23:59:59	Дилер	4 530,47	4 631,33	1
Сварочное	25.07.2016 23:59:59	Розница	284 662,51	285 437,15	8
Строительное	25.07.2016 23:59:59	Розница	55 000,00	55 000,00	1
Химическое	25.07.2016 23:59:59	Дилер	37 131,25	38 760,00	2
Химическое	25.07.2016 23:59:59	Розница	189 125,91	193 652,48	3
АТП	26.07.2016 23:59:59	Розница	79 457,43	81 178,26	1
Дуговая сварка.	26.07.2016 23:59:59	Розница	88 436,51	88 436,51	1
ЗЧ и РМ	26.07.2016 23:59:59	Дилер	20 307,71	20 307,71	3
ЗЧ и РМ	26.07.2016 23:59:59	Розница	92 299,51	92 299,45	11
Компрессорное	26.07.2016 23:59:59	Дилер	588 149,47	588 705,11	6
Компрессорное	26.07.2016 23:59:59	Розница	656 418,00	656 417,97	2
Насосное	26.07.2016 23:59:59	Дилер	1 533 492,59	1 566 948,93	18
Насосное	26.07.2016 23:59:59	Розница	720 849,12	720 849,12	6
Подготовка поверхности	26.07.2016 23:59:59	Розница	12 539,04	12 539,04	2
Сварочное	26.07.2016 23:59:59	Дилер	549 761,21	583 619,93	5
Сварочное	26.07.2016 23:59:59	Розница	440 578,56	448 861,83	7
Строительное	26.07.2016 23:59:59	Розница	338 586,40	338 586,40	2
Химическое	26.07.2016 23:59:59	Розница	284 523,34	283 584,86	1
Автосервис	27.07.2016 23:59:59	Розница	36 294,06	36 294,06	2
ЗЧ и РМ	27.07.2016 23:59:59	Дилер	45 702,75	45 825,42	5
ЗЧ и РМ	27.07.2016 23:59:59	Розница	194 330,32	194 330,32	18
Компрессорное	27.07.2016 23:59:59	Дилер	151 107,40	151 377,51	4
Металлообработка	27.07.2016 23:59:59	Розница	881 200,27	895 331,25	1
Насосное	27.07.2016 23:59:59	Дилер	483 042,69	495 131,54	11
Насосное	27.07.2016 23:59:59	Розница	84 781,24	84 781,24	3
Подготовка поверхности	27.07.2016 23:59:59	Розница	23 300,00	23 300,00	2
Сварочное	27.07.2016 23:59:59	Дилер	32 479,97	33 714,07	1
Сварочное	27.07.2016 23:59:59	Розница	659 862,04	462 195,10	4
Строительное	27.07.2016 23:59:59	Розница	220 455,62	220 455,62	1
Химическое	27.07.2016 23:59:59	Дилер	320 617,70	332 799,88	1
Химическое	27.07.2016 23:59:59	Розница	30 434,93	32 033,68	1
Дуговая сварка.	28.07.2016 23:59:59	Розница	357 157,21	391 326,70	2
ЗЧ и РМ	28.07.2016 23:59:59	Дилер	73 602,09	70 975,57	6
ЗЧ и РМ	28.07.2016 23:59:59	Розница	341 680,10	163 812,07	7
Компрессорное	28.07.2016 23:59:59	Дилер	269 764,68	195 528,06	5
Компрессорное	28.07.2016 23:59:59	Розница	251 279,42	251 279,42	5
Насосное	28.07.2016 23:59:59	Дилер	1 502 046,56	1 543 444,79	22
Насосное	28.07.2016 23:59:59	Розница	732 364,59	730 355,91	9
Подготовка поверхности	28.07.2016 23:59:59	Розница	6 983,25	6 553,01	2
Сварочное	28.07.2016 23:59:59	Дилер	6 642 222,65	53 032,32	3
Сварочное	28.07.2016 23:59:59	КПК	125 963,20	125 963,20	1
Сварочное	28.07.2016 23:59:59	Розница	290 793,87	290 793,87	3
Химическое	28.07.2016 23:59:59	Розница	226 358,25	237 731,00	3
Дуговая сварка.	29.07.2016 23:59:59	Дилер	179 557,13	197 015,25	1
ЗЧ и РМ	29.07.2016 23:59:59	Дилер	131 146,56	133 830,42	8
ЗЧ и РМ	29.07.2016 23:59:59	КПК	214 488,08	214 487,98	1
ЗЧ и РМ	29.07.2016 23:59:59	Розница	483 758,99	483 758,97	15
Компрессорное	29.07.2016 23:59:59	Дилер	474 995,90	476 474,91	4
Компрессорное	29.07.2016 23:59:59	Розница	417 772,46	417 772,46	7
Насосное	29.07.2016 23:59:59	Дилер	1 040 153,91	1 071 970,04	14
Насосное	29.07.2016 23:59:59	Розница	285 077,73	285 077,68	3
Подготовка поверхности	29.07.2016 23:59:59	Дилер	188 648,11	195 877,51	5
Подготовка поверхности	29.07.2016 23:59:59	Розница	45 250,82	45 250,82	1
Сварочное	29.07.2016 23:59:59	Дилер	5 226 672,70	5 242 039,75	6
Сварочное	29.07.2016 23:59:59	Розница	9 576,20	9 576,20	1
Строительное	29.07.2016 23:59:59	Дилер	41 833,91	46 760,05	1
Строительное	29.07.2016 23:59:59	Розница	175 660,45	175 660,45	1
Автосервис	01.08.2016 23:59:59	Дилер	12 864,00	12 864,00	1
Автосервис	01.08.2016 23:59:59	Розница	13 800,00	13 800,00	1
Дуговая сварка.	01.08.2016 23:59:59	КПК	24 698,58	24 698,58	1
ЗЧ и РМ	01.08.2016 23:59:59	Дилер	75 998,93	77 296,65	10
ЗЧ и РМ	01.08.2016 23:59:59	КПК	16 085,76	16 085,65	2
ЗЧ и РМ	01.08.2016 23:59:59	Розница	647 949,92	632 439,05	11
Компрессорное	01.08.2016 23:59:59	Дилер	305 116,06	309 040,11	4
Компрессорное	01.08.2016 23:59:59	Розница	882 952,66	882 952,66	10
Металлообработка	01.08.2016 23:59:59	Розница	445 000,00	445 000,00	1
Насосное	01.08.2016 23:59:59	Дилер	391 843,55	417 120,81	15
Насосное	01.08.2016 23:59:59	КПК	243 065,84	243 065,70	1
Насосное	01.08.2016 23:59:59	Розница	294 629,69	309 122,08	3
Подготовка поверхности	01.08.2016 23:59:59	Дилер	112 633,99	117 730,94	3
Подготовка поверхности	01.08.2016 23:59:59	Розница	39 884,70	39 884,70	1
Сварочное	01.08.2016 23:59:59	Дилер	68 789,46	72 772,76	3
Сварочное	01.08.2016 23:59:59	Розница	48 917,33	48 917,33	1
Строительное	01.08.2016 23:59:59	Дилер	2 380,00	2 380,00	1
Химическое	01.08.2016 23:59:59	Дилер	124 143,46	131 561,10	1
Химическое	01.08.2016 23:59:59	Розница	23 874,07	25 335,74	1
АТП	02.08.2016 23:59:59	Розница	39 480,58	41 720,00	1
Дуговая сварка.	02.08.2016 23:59:59	Розница	78 338,58	84 187,01	2
ЗЧ и РМ	02.08.2016 23:59:59	Дилер	326 718,37	339 343,06	13
ЗЧ и РМ	02.08.2016 23:59:59	КПК		51 448,00	1
ЗЧ и РМ	02.08.2016 23:59:59	Розница	157 333,18	157 333,13	12
Компрессорное	02.08.2016 23:59:59	Дилер	553 188,69	569 440,16	5
Компрессорное	02.08.2016 23:59:59	КПК	81 000,00	81 000,00	1
Компрессорное	02.08.2016 23:59:59	Розница	798 820,00	798 819,99	4
Насосное	02.08.2016 23:59:59	Дилер	1 674 559,55	1 756 960,30	27
Насосное	02.08.2016 23:59:59	КПК	116 480,00	116 480,00	1
Насосное	02.08.2016 23:59:59	Розница	504 430,74	446 265,33	11
Подготовка поверхности	02.08.2016 23:59:59	Розница	226 229,46	226 229,46	2
Сварочное	02.08.2016 23:59:59	Дилер	221 949,60	234 070,75	6
Сварочное	02.08.2016 23:59:59	Розница	85 378,13	85 479,68	5
Строительное	02.08.2016 23:59:59	Дилер	34 660,49	38 649,81	1
Химическое	02.08.2016 23:59:59	Дилер	532 819,08	554 763,55	5
Химическое	02.08.2016 23:59:59	Розница	358 841,34	379 022,83	2
Дуговая сварка.	03.08.2016 23:59:59	Розница	12 885,47	12 885,47	1
ЗЧ и РМ	03.08.2016 23:59:59	Дилер	54 520,21	54 729,29	7
ЗЧ и РМ	03.08.2016 23:59:59	Розница	344 129,34	344 129,34	16
Компрессорное	03.08.2016 23:59:59	Дилер	256 600,00	256 600,00	1
Компрессорное	03.08.2016 23:59:59	Розница	38 300,00	38 300,00	2
Насосное	03.08.2016 23:59:59	Дилер	283 053,85	304 176,24	6
Насосное	03.08.2016 23:59:59	Розница	1 234 989,47	1 258 508,93	10
Подготовка поверхности	03.08.2016 23:59:59	Розница	268 298,80	268 298,80	3
Сварочное	03.08.2016 23:59:59	Дилер	176 361,42	188 779,00	2
Сварочное	03.08.2016 23:59:59	Розница	236 193,20	253 074,00	3
Строительное	03.08.2016 23:59:59	Розница	24 800,00	24 800,00	1
Дуговая сварка.	04.08.2016 23:59:59	Розница	16 605,16	16 605,16	1
ЗЧ и РМ	04.08.2016 23:59:59	Дилер	189 410,03	190 828,76	4
ЗЧ и РМ	04.08.2016 23:59:59	Розница	824 190,14	807 104,84	17
Компрессорное	04.08.2016 23:59:59	Дилер	184 275,14	194 028,19	3
Компрессорное	04.08.2016 23:59:59	Розница	200 967,90	202 840,33	4
Насосное	04.08.2016 23:59:59	Дилер	408 279,74	436 570,80	7
Насосное	04.08.2016 23:59:59	Розница	176 311,41	181 343,43	5
Подготовка поверхности	04.08.2016 23:59:59	Розница	66 563,02	71 432,00	1
Сварочное	04.08.2016 23:59:59	Розница	240 829,02	240 829,02	3
Строительное	04.08.2016 23:59:59	Розница	28 810,00	28 810,00	1
Химическое	04.08.2016 23:59:59	Дилер	25 147,58	26 988,00	1
Химическое	04.08.2016 23:59:59	Розница	194 507,04	208 697,83	1
АТП	05.08.2016 23:59:59	Розница	17 422 964,44	16 666 783,81	4
Дуговая сварка.	05.08.2016 23:59:59	Розница	4 881,30	4 881,30	1
ЗЧ и РМ	05.08.2016 23:59:59	Дилер	8 909,36	9 240,56	2
ЗЧ и РМ	05.08.2016 23:59:59	Розница	73 321,49	76 249,51	10
Компрессорное	05.08.2016 23:59:59	Дилер	187 300,00	187 300,00	3
Компрессорное	05.08.2016 23:59:59	КПК	1 600 000,00	1 599 994,88	1
Компрессорное	05.08.2016 23:59:59	Розница	237 290,94	237 290,94	5
Насосное	05.08.2016 23:59:59	Дилер	536 938,49	534 138,31	10
Насосное	05.08.2016 23:59:59	КПК	5 435 684,55	5 435 680,12	1
Насосное	05.08.2016 23:59:59	Розница	158 180,00	160 132,63	5
Подготовка поверхности	05.08.2016 23:59:59	Розница	142 814,93	142 814,93	1
Сварочное	05.08.2016 23:59:59	Дилер	89 103,07	94 621,70	2
Сварочное	05.08.2016 23:59:59	Розница	72 187,50	72 210,20	4
Строительное	05.08.2016 23:59:59	Дилер	1 000,00	1 000,00	1
Строительное	05.08.2016 23:59:59	КПК	680 377,36	680 371,47	1
Химическое	05.08.2016 23:59:59	Дилер	125 877,30	133 505,30	1
Химическое	05.08.2016 23:59:59	Розница	2 941,89	3 156,52	1
Автосервис	08.08.2016 23:59:59	Розница	34 500,00	34 500,00	1
Дуговая сварка.	08.08.2016 23:59:59	Розница	42 631,86	42 631,86	2
ЗЧ и РМ	08.08.2016 23:59:59	Дилер	35 344,10	36 035,90	8
ЗЧ и РМ	08.08.2016 23:59:59	Розница	53 364,55	53 364,55	9
Компрессорное	08.08.2016 23:59:59	Дилер	272 518,41	272 813,14	5
Компрессорное	08.08.2016 23:59:59	Розница	367 806,16	367 806,16	4
Металлообработка	08.08.2016 23:59:59	Розница	20 400,00	20 400,00	1
Насосное	08.08.2016 23:59:59	Дилер	544 564,28	570 587,76	10
Насосное	08.08.2016 23:59:59	КПК	85 885,12	-99 234,74	1
Насосное	08.08.2016 23:59:59	Розница	747 830,72	747 830,72	6
Подготовка поверхности	08.08.2016 23:59:59	Дилер	55 470,00	55 470,00	1
Подготовка поверхности	08.08.2016 23:59:59	Розница	29 768,10	29 768,08	3
Сварочное	08.08.2016 23:59:59	Розница	116 008,53	116 008,53	2
Строительное	08.08.2016 23:59:59	Дилер	60 922,03	67 530,00	1
Строительное	08.08.2016 23:59:59	Розница	220 455,62	-220 455,62	1
Химическое	08.08.2016 23:59:59	Розница	34 925,47	34 925,47	1
Дуговая сварка.	09.08.2016 23:59:59	Розница	18 711,72	18 711,72	1
ЗЧ и РМ	09.08.2016 23:59:59	Дилер	82 070,82	85 103,81	4
ЗЧ и РМ	09.08.2016 23:59:59	Розница	225 414,81	220 400,39	19
Компрессорное	09.08.2016 23:59:59	Дилер	372 530,76	375 025,28	3
Компрессорное	09.08.2016 23:59:59	Розница	482 592,34	457 789,21	4
Насосное	09.08.2016 23:59:59	Дилер	1 295 742,38	1 325 132,70	11
Насосное	09.08.2016 23:59:59	КПК	450 930,00	450 930,00	2
Насосное	09.08.2016 23:59:59	Розница	252 723,44	252 723,44	5
Подготовка поверхности	09.08.2016 23:59:59	Дилер	8 924,82	9 195,36	2
Подготовка поверхности	09.08.2016 23:59:59	Розница	41 163,06	41 163,06	2
Сварочное	09.08.2016 23:59:59	Дилер	223 526,30	231 377,35	2
Строительное	09.08.2016 23:59:59	Дилер		20 000,00	1
Строительное	09.08.2016 23:59:59	КПК	2 412 000,00	2 412 000,00	1
Химическое	09.08.2016 23:59:59	Дилер	67 025,77	69 119,37	2
Химическое	09.08.2016 23:59:59	Розница	105 249,73	108 946,48	1
АТП	10.08.2016 23:59:59	Розница	6 585 226,88	709 081,64	2
Дуговая сварка.	10.08.2016 23:59:59	Розница	102 869,77	102 869,77	1
ЗЧ и РМ	10.08.2016 23:59:59	Дилер	377 181,64	386 685,02	10
ЗЧ и РМ	10.08.2016 23:59:59	Розница	267 616,87	265 425,25	14
Компрессорное	10.08.2016 23:59:59	Дилер	428 026,88	392 784,66	5
Компрессорное	10.08.2016 23:59:59	Розница	90 948,00	90 948,00	3
Насосное	10.08.2016 23:59:59	Дилер	2 207 971,37	2 268 267,56	20
Насосное	10.08.2016 23:59:59	Розница	211 977,41	218 206,34	5
Подготовка поверхности	10.08.2016 23:59:59	Розница	35 000,00	35 000,00	1
Сварочное	10.08.2016 23:59:59	Дилер	129 032,70	133 181,99	8
Сварочное	10.08.2016 23:59:59	КПК	104 000,00	-104 000,00	1
Сварочное	10.08.2016 23:59:59	Розница	685 071,18	685 071,18	4
Строительное	10.08.2016 23:59:59	Дилер	70 030,76	76 863,39	1
Строительное	10.08.2016 23:59:59	Розница	59 566,99	59 566,99	1
Химическое	10.08.2016 23:59:59	Розница	873 427,05	897 910,16	4
АТП	11.08.2016 23:59:59	Розница	198 643,58	205 869,47	1
Дуговая сварка.	11.08.2016 23:59:59	Розница	74 999,25	80 242,00	3
ЗЧ и РМ	11.08.2016 23:59:59	Дилер	61 988,86	63 218,21	7
ЗЧ и РМ	11.08.2016 23:59:59	Розница	212 211,17	179 552,86	18
Компрессорное	11.08.2016 23:59:59	Дилер	132 224,44	133 545,38	3
Компрессорное	11.08.2016 23:59:59	Розница	765 150,43	783 338,86	3
Насосное	11.08.2016 23:59:59	Дилер	686 170,59	710 307,29	14
Насосное	11.08.2016 23:59:59	Розница	416 139,52	424 328,86	6
Подготовка поверхности	11.08.2016 23:59:59	Дилер	70 734,78	71 990,50	4
Сварочное	11.08.2016 23:59:59	Дилер	68 333,39	70 819,10	1
Сварочное	11.08.2016 23:59:59	КПК	390 000,00	390 000,00	1
Сварочное	11.08.2016 23:59:59	Розница	15 366,27	15 366,27	2
Строительное	11.08.2016 23:59:59	Розница	155 484,17	155 484,17	1
Химическое	11.08.2016 23:59:59	Дилер	278 690,48	286 006,86	3
Химическое	11.08.2016 23:59:59	Розница	216 483,16	225 234,92	2
ЗЧ и РМ	12.08.2016 23:59:59	Дилер	16 751,01	17 274,67	4
ЗЧ и РМ	12.08.2016 23:59:59	Розница	299 238,49	293 527,37	12
Компрессорное	12.08.2016 23:59:59	Дилер	196 931,64	201 701,00	3
Компрессорное	12.08.2016 23:59:59	Розница	992 426,92	992 426,88	7
Насосное	12.08.2016 23:59:59	Дилер	323 455,64	326 249,44	8
Насосное	12.08.2016 23:59:59	Розница	370 703,24	370 703,24	8
Подготовка поверхности	12.08.2016 23:59:59	Дилер	56 100,00	56 100,00	1
Подготовка поверхности	12.08.2016 23:59:59	Розница	167 945,76	167 945,66	2
Сварочное	12.08.2016 23:59:59	Дилер	143 456,79	152 703,55	2
Сварочное	12.08.2016 23:59:59	Розница	572 377,60	586 219,72	4
Строительное	12.08.2016 23:59:59	Розница	40 204,71	40 204,70	2
Химическое	12.08.2016 23:59:59	Розница	40 204,02	40 489,79	2
Автосервис	15.08.2016 23:59:59	Розница	10 800,00	10 800,00	1
Дуговая сварка.	15.08.2016 23:59:59	Дилер	15 724,21	16 179,08	1
Дуговая сварка.	15.08.2016 23:59:59	Розница	60 704,79	62 507,90	3
ЗЧ и РМ	15.08.2016 23:59:59	Дилер	35 584,53	36 374,93	8
ЗЧ и РМ	15.08.2016 23:59:59	Розница	336 955,19	340 617,57	13
Компрессорное	15.08.2016 23:59:59	Дилер	123 310,27	124 247,85	3
Компрессорное	15.08.2016 23:59:59	Розница	200 000,00	200 000,00	1
Насосное	15.08.2016 23:59:59	Дилер	570 580,58	587 353,13	11
Насосное	15.08.2016 23:59:59	Розница	1 145 533,27	1 150 578,57	6
Подготовка поверхности	15.08.2016 23:59:59	Розница	207 373,68	207 373,68	1
Сварочное	15.08.2016 23:59:59	Дилер	555 707,14	571 783,11	7
Сварочное	15.08.2016 23:59:59	КПК	196 000,00	-196 000,00	1
Сварочное	15.08.2016 23:59:59	Розница	42 169,94	42 169,94	2
Строительное	15.08.2016 23:59:59	Дилер	56 308,52	61 248,25	1
АТП	16.08.2016 23:59:59	Розница	2 000 000,00	2 000 000,00	1
Дуговая сварка.	16.08.2016 23:59:59	Дилер	38 620,00	38 620,00	1
Дуговая сварка.	16.08.2016 23:59:59	Розница	18 933,04	18 933,04	1
ЗЧ и РМ	16.08.2016 23:59:59	Дилер	152 146,47	157 328,87	8
ЗЧ и РМ	16.08.2016 23:59:59	Розница	211 238,27	197 237,89	15
Компрессорное	16.08.2016 23:59:59	Дилер	42 502,17	42 784,30	2
Компрессорное	16.08.2016 23:59:59	Розница	789 278,84	789 278,84	5
Насосное	16.08.2016 23:59:59	Дилер	517 050,43	527 884,46	14
Насосное	16.08.2016 23:59:59	Розница	2 235 750,71	1 869 444,57	15
Подготовка поверхности	16.08.2016 23:59:59	Розница	509 922,35	509 922,35	1
Сварочное	16.08.2016 23:59:59	Дилер	203 522,54	209 410,14	1
Сварочное	16.08.2016 23:59:59	КПК	196 000,00	196 000,00	1
Сварочное	16.08.2016 23:59:59	Розница	480 342,04	499 384,20	3
Химическое	16.08.2016 23:59:59	Дилер	49 139,82	50 280,14	1
Химическое	16.08.2016 23:59:59	Розница	190 847,87	196 724,32	1
Автосервис	17.08.2016 23:59:59	Розница	99 900,00	99 900,00	1
Дуговая сварка.	17.08.2016 23:59:59	Дилер	39 291,00	40 567,96	2
ЗЧ и РМ	17.08.2016 23:59:59	Дилер	75 475,40	66 837,73	8
ЗЧ и РМ	17.08.2016 23:59:59	Розница	144 635,53	144 635,50	14
Компрессорное	17.08.2016 23:59:59	Дилер	205 682,16	205 682,16	4
Компрессорное	17.08.2016 23:59:59	Розница	2 418 639,22	2 418 639,18	6
Металлообработка	17.08.2016 23:59:59	Розница	452,93	470,00	1
Насосное	17.08.2016 23:59:59	Дилер	602 132,31	618 023,32	11
Насосное	17.08.2016 23:59:59	Розница	601 519,70	603 257,18	6
НГО	17.08.2016 23:59:59	КПК	11 609 320,95	11 609 320,95	1
Подготовка поверхности	17.08.2016 23:59:59	Розница	94 501,63	94 501,63	3
Сварочное	17.08.2016 23:59:59	Дилер	108 480,30	112 005,56	3
Сварочное	17.08.2016 23:59:59	Розница	22 468,88	22 468,88	2
Химическое	17.08.2016 23:59:59	Дилер	122 476,58	126 246,67	2
Химическое	17.08.2016 23:59:59	Розница	139 302,94	142 811,70	2
Автосервис	18.08.2016 23:59:59	Дилер	12 865,78	13 032,00	1
Автосервис	18.08.2016 23:59:59	Розница	11 800,00	11 800,00	1
ЗЧ и РМ	18.08.2016 23:59:59	Дилер	49 727,53	50 224,98	9
ЗЧ и РМ	18.08.2016 23:59:59	Розница	166 549,43	166 549,09	13
Компрессорное	18.08.2016 23:59:59	Дилер	463 157,72	470 978,41	5
Компрессорное	18.08.2016 23:59:59	Розница	962 753,61	963 974,35	5
Металлообработка	18.08.2016 23:59:59	Розница	32 195,60	33 409,10	1
Насосное	18.08.2016 23:59:59	Дилер	416 449,37	430 883,78	12
Насосное	18.08.2016 23:59:59	Розница	965 204,10	988 250,35	6
НГО	18.08.2016 23:59:59	КПК	2 436 028,87	2 628 526,20	1
Сварочное	18.08.2016 23:59:59	Дилер	382 751,36	398 570,56	5
Сварочное	18.08.2016 23:59:59	Розница	3 841 181,93	3 912 876,60	6
Строительное	18.08.2016 23:59:59	Розница	41 164,88	41 164,88	1
ЗЧ и РМ	19.08.2016 23:59:59	Дилер	168 917,37	172 368,32	9
ЗЧ и РМ	19.08.2016 23:59:59	Розница	268 703,59	258 865,91	22
Компрессорное	19.08.2016 23:59:59	Дилер	120 797,18	121 187,83	5
Компрессорное	19.08.2016 23:59:59	КПК	1 161 800,00	1 163 112,08	1
Компрессорное	19.08.2016 23:59:59	Розница	39 261,89	40 315,43	3
Насосное	19.08.2016 23:59:59	Дилер	1 530 432,31	1 482 898,53	20
Насосное	19.08.2016 23:59:59	Розница	645 003,88	607 687,55	9
Подготовка поверхности	19.08.2016 23:59:59	КПК	167 123,04	167 311,59	1
Сварочное	19.08.2016 23:59:59	Дилер	145 041,16	149 910,60	4
Сварочное	19.08.2016 23:59:59	Розница	2 221 297,77	2 160 213,22	8
Строительное	19.08.2016 23:59:59	Дилер	353 003,22	378 405,61	2
Автосервис	22.08.2016 23:59:59	Дилер	1 066,22	1 080,00	1
Дуговая сварка.	22.08.2016 23:59:59	Розница	376 200,55	376 200,55	4
