
Параметры:	Период: 01.04.2016 - 27.08.2017
Отбор:	Направление В списке "Автосервис; АТП; Дуговая сварка.; ЗЧ и РМ; Компрессорное; Металлообработка; Насосное; Подготовка поверхности; Сварочное; Строительное;..."
	
Направление	Документ оплаты.Дата.Конец дня	Канал сбыта	Сумма Руб.	Сумма оплаты Руб.	Количество заказов
Насосное	08.04.2016 23:59:59	Дилер	1 009 372,35	1 119 391,29	8
Насосное	08.04.2016 23:59:59	Розница	649 384,17	621 939,77	10
Подготовка поверхности	08.04.2016 23:59:59	Дилер	-217,82	-239,54	1
Подготовка поверхности	08.04.2016 23:59:59	Розница	49 208,96	49 208,53	3
Сварочное	08.04.2016 23:59:59	Дилер	7 666,95	8 510,57	1
Сварочное	08.04.2016 23:59:59	Розница	24 900,32	24 900,32	2
Строительное	08.04.2016 23:59:59	Розница	20 000,00	20 000,00	1
Химическое	08.04.2016 23:59:59	Розница	241 163,67	253 525,30	2
Автосервис	11.04.2016 23:59:59	Розница	20 335,12	20 348,40	2
Дуговая сварка.	11.04.2016 23:59:59	Дилер	6 969,95	7 668,88	1
Дуговая сварка.	11.04.2016 23:59:59	КПК		174 999,90	1
Дуговая сварка.	11.04.2016 23:59:59	Розница	143 724,74	144 018,61	3
ЗЧ и РМ	11.04.2016 23:59:59	Дилер	80 834,17	85 238,26	6
ЗЧ и РМ	11.04.2016 23:59:59	Розница	153 735,30	153 735,29	15
Компрессорное	11.04.2016 23:59:59	Дилер	186 112,06	186 384,22	4
Компрессорное	11.04.2016 23:59:59	Розница	334 713,90	349 219,50	7
Насосное	11.04.2016 23:59:59	Дилер	477 562,11	587 155,48	12
Насосное	11.04.2016 23:59:59	Розница	548 190,56	548 190,56	2
НГО	11.04.2016 23:59:59	КПК		1 602 791,14	1
Подготовка поверхности	11.04.2016 23:59:59	Дилер	47 998,86	47 998,86	1
Подготовка поверхности	11.04.2016 23:59:59	Розница	81 053,02	81 053,02	3
Сварочное	11.04.2016 23:59:59	Дилер	451 751,73	497 052,31	3
Сварочное	11.04.2016 23:59:59	Розница	405 300,27	443 802,00	3
Строительное	11.04.2016 23:59:59	Дилер		8 396,88	1
Химическое	11.04.2016 23:59:59	Розница	251 298,96	274 045,22	2
Дуговая сварка.	12.04.2016 23:59:59	Розница	55 000,00	55 000,00	1
ЗЧ и РМ	12.04.2016 23:59:59	Дилер	9 006,57	12 627,91	4
ЗЧ и РМ	12.04.2016 23:59:59	Розница	623 790,73	512 441,29	12
Компрессорное	12.04.2016 23:59:59	Дилер	233 422,50	314 368,85	6
Металлообработка	12.04.2016 23:59:59	Розница	914 506,09	914 506,09	1
Насосное	12.04.2016 23:59:59	Дилер	586 285,45	647 644,79	12
Насосное	12.04.2016 23:59:59	КПК		47 997,68	1
Насосное	12.04.2016 23:59:59	Розница	313 677,84	407 635,14	4
