
Параметры:	Период:  - 31.07.2017
Отбор:	"Заказ.Дата Больше или равно ""01.04.2016 0:00:00"" И
Заказ.Дата Меньше ""27.08.2017 0:00:00"" И
Направление В списке ""Автосервис; АТП; Дуговая сварка.; ЗЧ и РМ; Комплексные поставки; Компрессорное; Металлообработка; Насосное; НГО; Подготовка поверхности;..."""
	
Направление	Организация	Заказ.Дата.Конец дня	Канал сбыта	Сумма Руб.	Сумма оплаты Руб.	Количество заказов	Количество заказов с оплатой
ЗЧ и РМ	Рутектор	18.05.2016 23:59:59	Розница	214 453,20	214 453,00	2	2
Компрессорное	PУТЕКТОР	18.05.2016 23:59:59	Розница	618 814,12		2	
Металлообработка	PУТЕКТОР	18.05.2016 23:59:59	Розница	20 000,00	20 000,00	1	1
Насосное	PУТЕКТОР	18.05.2016 23:59:59	Розница	1 123 003,80	929 014,22	4	1
Насосное	Рутектор	18.05.2016 23:59:59	Розница	12 510,36	12 510,33	2	2
Подготовка поверхности	PУТЕКТОР	18.05.2016 23:59:59	Розница	869 559,39	869 559,24	6	6
Сварочное	PУТЕКТОР	18.05.2016 23:59:59	Розница	514 239,38	260 337,80	5	2
Сварочное	Рутектор	18.05.2016 23:59:59	Розница	5 063,20	5 063,20	1	1
Строительное	PУТЕКТОР	18.05.2016 23:59:59	Розница	15 080,00	15 080,00	1	1
Химическое	PУТЕКТОР	18.05.2016 23:59:59	Розница	1 236 372,84	158 363,65	5	3
ЗЧ и РМ	PУТЕКТОР	19.05.2016 23:59:59	Дилер	216 861,82	129 710,56	14	7
ЗЧ и РМ	Рутектор	19.05.2016 23:59:59	Дилер	44 525,84	44 525,84	3	3
Компрессорное	PУТЕКТОР	19.05.2016 23:59:59	Дилер	770 355,00	765 064,29	5	4
Насосное	PУТЕКТОР	19.05.2016 23:59:59	Дилер	976 605,18	201 066,48	10	6
Подготовка поверхности	PУТЕКТОР	19.05.2016 23:59:59	Дилер	237 295,48	47 890,40	3	1
Сварочное	PУТЕКТОР	19.05.2016 23:59:59	Дилер	209 073,56	211 382,72	2	2
Строительное	PУТЕКТОР	19.05.2016 23:59:59	Дилер	83 248,54	83 990,05	2	2
АТП	PУТЕКТОР	19.05.2016 23:59:59	КПК	44 219,00	44 219,00	1	1
ЗЧ и РМ	Рутектор	19.05.2016 23:59:59	КПК	979 160,00	979 160,00	3	3
Насосное	PУТЕКТОР	19.05.2016 23:59:59	КПК	92 734,24	93 416,96	1	1
Автосервис	PУТЕКТОР	19.05.2016 23:59:59	Розница	8 648,00		1	
Дуговая сварка.	PУТЕКТОР	19.05.2016 23:59:59	Розница	2 616 930,00	49 220,62	2	1
ЗЧ и РМ	PУТЕКТОР	19.05.2016 23:59:59	Розница	99 962,05	67 151,21	15	13
ЗЧ и РМ	Рутектор	19.05.2016 23:59:59	Розница	170 796,10	170 796,10	1	1
Компрессорное	PУТЕКТОР	19.05.2016 23:59:59	Розница	835 294,50	759 711,59	10	8
Насосное	PУТЕКТОР	19.05.2016 23:59:59	Розница	351 600,66	200 055,78	6	3
Подготовка поверхности	PУТЕКТОР	19.05.2016 23:59:59	Розница	63 553,37	63 553,37	3	3
Сварочное	PУТЕКТОР	19.05.2016 23:59:59	Розница	466 361,82	113 199,91	4	2
Строительное	PУТЕКТОР	19.05.2016 23:59:59	Розница	16 945,50	16 945,50	2	2
Химическое	PУТЕКТОР	19.05.2016 23:59:59	Розница	574 871,65	408 212,38	5	2
ЗЧ и РМ	PУТЕКТОР	20.05.2016 23:59:59	Дилер	439 099,50	53 720,44	8	7
ЗЧ и РМ	Рутектор	20.05.2016 23:59:59	Дилер	48 340,00	48 340,00	1	1
Компрессорное	PУТЕКТОР	20.05.2016 23:59:59	Дилер	261 249,03	192 159,76	4	3
Насосное	PУТЕКТОР	20.05.2016 23:59:59	Дилер	1 194 424,53	1 193 746,01	15	15
Подготовка поверхности	PУТЕКТОР	20.05.2016 23:59:59	Дилер	45 820,00	45 820,00	2	2
Строительное	PУТЕКТОР	20.05.2016 23:59:59	Дилер	4 960,00	4 960,00	1	1
Химическое	PУТЕКТОР	20.05.2016 23:59:59	Дилер	615 610,20	212 465,36	2	1
ЗЧ и РМ	Рутектор	20.05.2016 23:59:59	КПК	563 499,00	563 499,00	1	1
Дуговая сварка.	PУТЕКТОР	20.05.2016 23:59:59	Розница	1 230 536,58	10 128,65	2	1
ЗЧ и РМ	PУТЕКТОР	20.05.2016 23:59:59	Розница	500 888,59	463 663,18	20	18
Компрессорное	PУТЕКТОР	20.05.2016 23:59:59	Розница	132 804,76	133 026,00	3	3
Насосное	PУТЕКТОР	20.05.2016 23:59:59	Розница	831 613,60	216 446,83	10	6
Подготовка поверхности	PУТЕКТОР	20.05.2016 23:59:59	Розница	318 156,35	318 156,35	2	2
Сварочное	PУТЕКТОР	20.05.2016 23:59:59	Розница	14 100,00	14 100,00	1	1
Строительное	PУТЕКТОР	20.05.2016 23:59:59	Розница	94 972,00	94 972,00	2	2
Химическое	PУТЕКТОР	20.05.2016 23:59:59	Розница	32 999,88	32 999,87	1	1
Дуговая сварка.	PУТЕКТОР	23.05.2016 23:59:59	Дилер	1 861,56	1 861,56	1	1
ЗЧ и РМ	PУТЕКТОР	23.05.2016 23:59:59	Дилер	130 283,89	33 718,26	14	7
Компрессорное	PУТЕКТОР	23.05.2016 23:59:59	Дилер	243 634,09	217 211,74	6	5
Насосное	PУТЕКТОР	23.05.2016 23:59:59	Дилер	449 687,26	442 655,02	10	10
Подготовка поверхности	PУТЕКТОР	23.05.2016 23:59:59	Дилер	52 676,17	50 463,84	2	2
Сварочное	PУТЕКТОР	23.05.2016 23:59:59	Дилер	244 353,99	181 654,25	4	3
Строительное	PУТЕКТОР	23.05.2016 23:59:59	Дилер	70 600,00	70 600,00	1	1
Химическое	PУТЕКТОР	23.05.2016 23:59:59	Дилер	2 300,00	2 300,00	1	1
Компрессорное	PУТЕКТОР	23.05.2016 23:59:59	КПК	38 000,00		1	
Сварочное	PУТЕКТОР	23.05.2016 23:59:59	КПК	196 000,00		1	
Дуговая сварка.	PУТЕКТОР	23.05.2016 23:59:59	Розница	189 198,00	189 198,00	1	1
ЗЧ и РМ	PУТЕКТОР	23.05.2016 23:59:59	Розница	528 887,74	166 393,08	27	13
Компрессорное	PУТЕКТОР	23.05.2016 23:59:59	Розница	282 938,59	282 938,59	4	4
Насосное	PУТЕКТОР	23.05.2016 23:59:59	Розница	848 060,24	523 616,38	13	5
Подготовка поверхности	PУТЕКТОР	23.05.2016 23:59:59	Розница	62 875,01	59 375,01	5	4
Сварочное	PУТЕКТОР	23.05.2016 23:59:59	Розница	1 730 336,01	1 693 971,99	3	3
Строительное	PУТЕКТОР	23.05.2016 23:59:59	Розница	34 053,78	34 053,78	1	1
Химическое	PУТЕКТОР	23.05.2016 23:59:59	Розница	124 556,81	5 060,29	3	1
ЗЧ и РМ	PУТЕКТОР	24.05.2016 23:59:59	Дилер	157 183,26	124 572,71	15	11
Компрессорное	PУТЕКТОР	24.05.2016 23:59:59	Дилер	76 524,47	72 363,57	2	2
Насосное	PУТЕКТОР	24.05.2016 23:59:59	Дилер	577 831,43	549 726,49	14	13
Подготовка поверхности	PУТЕКТОР	24.05.2016 23:59:59	Дилер	163 932,62	156 398,26	1	1
Сварочное	PУТЕКТОР	24.05.2016 23:59:59	Дилер	17 671,30	5 647,52	3	2
Строительное	PУТЕКТОР	24.05.2016 23:59:59	Дилер	63 829,22	122 097,81	1	1
Химическое	PУТЕКТОР	24.05.2016 23:59:59	Дилер	327 398,57	319 970,29	3	3
Дуговая сварка.	Рутектор	24.05.2016 23:59:59	КПК	6 000,00	5 999,94	1	1
ЗЧ и РМ	Рутектор	24.05.2016 23:59:59	КПК	681 248,28	681 248,23	3	3
ЗЧ и РМ	PУТЕКТОР	24.05.2016 23:59:59	Розница	361 779,12	337 543,18	19	16
Компрессорное	PУТЕКТОР	24.05.2016 23:59:59	Розница	1 193 453,00	1 106 950,53	8	7
Компрессорное	Рутектор	24.05.2016 23:59:59	Розница	1 168 748,00	1 168 748,00	1	1
Насосное	PУТЕКТОР	24.05.2016 23:59:59	Розница	798 991,91	731 860,56	14	12
Подготовка поверхности	PУТЕКТОР	24.05.2016 23:59:59	Розница	59 311,27	59 311,27	2	2
Сварочное	PУТЕКТОР	24.05.2016 23:59:59	Розница	1 080 033,50	922 876,66	7	6
Строительное	PУТЕКТОР	24.05.2016 23:59:59	Розница	14 200,00	14 200,00	1	1
Химическое	PУТЕКТОР	24.05.2016 23:59:59	Розница	152 665,07	149 027,51	2	2
Дуговая сварка.	PУТЕКТОР	25.05.2016 23:59:59	Дилер	408 961,84	397 528,56	1	1
ЗЧ и РМ	PУТЕКТОР	25.05.2016 23:59:59	Дилер	177 584,86	102 450,21	12	7
Компрессорное	PУТЕКТОР	25.05.2016 23:59:59	Дилер	129 280,00	129 280,00	4	4
Насосное	PУТЕКТОР	25.05.2016 23:59:59	Дилер	519 039,57	433 567,69	13	12
Сварочное	PУТЕКТОР	25.05.2016 23:59:59	Дилер	504 489,65	229 214,42	6	4
Химическое	PУТЕКТОР	25.05.2016 23:59:59	Дилер	648 121,45		1	
ЗЧ и РМ	PУТЕКТОР	25.05.2016 23:59:59	КПК	434 681,68	408 799,16	1	1
Дуговая сварка.	PУТЕКТОР	25.05.2016 23:59:59	Розница	93 643,60	93 643,60	1	1
ЗЧ и РМ	PУТЕКТОР	25.05.2016 23:59:59	Розница	260 462,12	156 543,40	21	17
ЗЧ и РМ	Рутектор	25.05.2016 23:59:59	Розница	172 527,65	171 840,28	3	3
Компрессорное	PУТЕКТОР	25.05.2016 23:59:59	Розница	319 712,87	164 909,47	5	3
Насосное	PУТЕКТОР	25.05.2016 23:59:59	Розница	892 234,58	154 122,26	10	3
Подготовка поверхности	PУТЕКТОР	25.05.2016 23:59:59	Розница	25 840,00	25 840,00	1	1
Сварочное	PУТЕКТОР	25.05.2016 23:59:59	Розница	1 819 138,61	1 634 569,99	2	1
Строительное	PУТЕКТОР	25.05.2016 23:59:59	Розница	172 308,00	172 308,00	2	2
Химическое	PУТЕКТОР	25.05.2016 23:59:59	Розница	264 033,56	188 485,26	3	1
ЗЧ и РМ	PУТЕКТОР	26.05.2016 23:59:59	Дилер	91 483,88	42 210,28	8	6
Компрессорное	PУТЕКТОР	26.05.2016 23:59:59	Дилер	579 510,68	558 560,00	3	2
Насосное	PУТЕКТОР	26.05.2016 23:59:59	Дилер	1 154 346,12	356 573,66	8	7
Сварочное	PУТЕКТОР	26.05.2016 23:59:59	Дилер	335 416,53	12 091,74	2	1
Строительное	PУТЕКТОР	26.05.2016 23:59:59	Дилер	15 100,00	15 100,00	1	1
Химическое	PУТЕКТОР	26.05.2016 23:59:59	Дилер	185 926,25	184 362,36	2	2
Дуговая сварка.	PУТЕКТОР	26.05.2016 23:59:59	КПК	1 237,65	1 237,65	1	1
Подготовка поверхности	Рутектор	26.05.2016 23:59:59	КПК	402 599,88	402 599,88	1	1
Сварочное	PУТЕКТОР	26.05.2016 23:59:59	КПК	63 604,82	63 604,76	1	1
ЗЧ и РМ	PУТЕКТОР	26.05.2016 23:59:59	Розница	530 096,82	296 393,28	16	13
ЗЧ и РМ	Рутектор	26.05.2016 23:59:59	Розница	37 072,38	37 072,38	1	1
Компрессорное	PУТЕКТОР	26.05.2016 23:59:59	Розница	339 636,34	280 938,61	3	2
Насосное	PУТЕКТОР	26.05.2016 23:59:59	Розница	1 589 458,67	1 248 448,74	13	7
Подготовка поверхности	PУТЕКТОР	26.05.2016 23:59:59	Розница	87 408,32	87 408,32	2	2
Сварочное	PУТЕКТОР	26.05.2016 23:59:59	Розница	1 077 130,91	1 066 855,64	3	3
Химическое	PУТЕКТОР	26.05.2016 23:59:59	Розница	673 222,71	87 386,12	2	1
Дуговая сварка.	PУТЕКТОР	27.05.2016 23:59:59	Дилер	532 730,14	58 029,00	2	1
ЗЧ и РМ	PУТЕКТОР	27.05.2016 23:59:59	Дилер	118 965,69	98 071,36	10	8
Компрессорное	PУТЕКТОР	27.05.2016 23:59:59	Дилер	579 876,29	571 166,93	6	6
Насосное	PУТЕКТОР	27.05.2016 23:59:59	Дилер	307 872,47	294 499,82	8	7
Подготовка поверхности	PУТЕКТОР	27.05.2016 23:59:59	Дилер	347 671,61	3 204,00	2	1
Сварочное	PУТЕКТОР	27.05.2016 23:59:59	Дилер	388 435,37	352 294,29	5	3
Химическое	PУТЕКТОР	27.05.2016 23:59:59	Дилер	426 124,53	429 627,51	1	1
Дуговая сварка.	PУТЕКТОР	27.05.2016 23:59:59	КПК	4 303,61	4 378,81	1	1
Насосное	Рутектор	27.05.2016 23:59:59	КПК	15 660,00	15 660,00	1	1
Сварочное	PУТЕКТОР	27.05.2016 23:59:59	КПК	66 724,20	66 578,80	1	1
Дуговая сварка.	PУТЕКТОР	27.05.2016 23:59:59	Розница	223 051,00	223 051,00	5	5
ЗЧ и РМ	PУТЕКТОР	27.05.2016 23:59:59	Розница	356 073,63	205 891,57	14	8
ЗЧ и РМ	Рутектор	27.05.2016 23:59:59	Розница	39 140,00	39 140,00	1	1
Компрессорное	PУТЕКТОР	27.05.2016 23:59:59	Розница	137 062,48	56 062,48	3	2
Насосное	PУТЕКТОР	27.05.2016 23:59:59	Розница	1 731 434,33	1 110 571,97	8	3
Сварочное	PУТЕКТОР	27.05.2016 23:59:59	Розница	10 647,30	7 108,83	2	1
Строительное	PУТЕКТОР	27.05.2016 23:59:59	Розница	118 405,00	118 405,00	2	2
Химическое	PУТЕКТОР	27.05.2016 23:59:59	Розница	466 981,50	463 250,87	2	2
ЗЧ и РМ	PУТЕКТОР	30.05.2016 23:59:59	Дилер	110 438,70	38 035,21	7	4
Компрессорное	PУТЕКТОР	30.05.2016 23:59:59	Дилер	133 720,00	70 120,00	3	2
Насосное	PУТЕКТОР	30.05.2016 23:59:59	Дилер	871 821,89	855 701,43	13	13
Сварочное	PУТЕКТОР	30.05.2016 23:59:59	Дилер	476 679,80	50 642,58	5	2
Химическое	PУТЕКТОР	30.05.2016 23:59:59	Дилер	307 943,66	305 891,40	1	1
Дуговая сварка.	Рутектор	30.05.2016 23:59:59	КПК	326 344,00	326 344,00	1	1
Дуговая сварка.	PУТЕКТОР	30.05.2016 23:59:59	Розница	42 665,42	3 473,75	3	1
ЗЧ и РМ	PУТЕКТОР	30.05.2016 23:59:59	Розница	558 747,44	223 810,21	24	15
Компрессорное	PУТЕКТОР	30.05.2016 23:59:59	Розница	873 005,00	826 731,14	7	6
Насосное	PУТЕКТОР	30.05.2016 23:59:59	Розница	1 998 480,98	1 244 212,16	12	8
Подготовка поверхности	PУТЕКТОР	30.05.2016 23:59:59	Розница	517 086,00	517 086,00	3	3
Сварочное	PУТЕКТОР	30.05.2016 23:59:59	Розница	593 725,18	241 000,00	4	2
Строительное	PУТЕКТОР	30.05.2016 23:59:59	Розница	541 428,02	541 427,80	3	3
Химическое	PУТЕКТОР	30.05.2016 23:59:59	Розница	326 384,21	324 832,59	3	3
ЗЧ и РМ	PУТЕКТОР	31.05.2016 23:59:59	Дилер	369 419,07	230 541,93	14	11
Компрессорное	PУТЕКТОР	31.05.2016 23:59:59	Дилер	172 416,00	102 120,26	5	3
Насосное	PУТЕКТОР	31.05.2016 23:59:59	Дилер	368 482,71	367 585,02	11	11
Подготовка поверхности	PУТЕКТОР	31.05.2016 23:59:59	Дилер	32 426,68	31 092,65	2	2
Сварочное	PУТЕКТОР	31.05.2016 23:59:59	Дилер	169 633,28	167 552,77	2	2
Насосное	Рутектор	31.05.2016 23:59:59	КПК	204 000,00	204 000,00	1	1
Дуговая сварка.	PУТЕКТОР	31.05.2016 23:59:59	Розница	851 952,44	729 368,36	5	3
ЗЧ и РМ	PУТЕКТОР	31.05.2016 23:59:59	Розница	71 049,39	56 068,90	11	7
ЗЧ и РМ	Рутектор	31.05.2016 23:59:59	Розница	207 090,00		1	
Компрессорное	PУТЕКТОР	31.05.2016 23:59:59	Розница	212 281,96	212 281,96	3	3
Компрессорное	Рутектор	31.05.2016 23:59:59	Розница	542 995,84	150 839,39	1	1
Металлообработка	PУТЕКТОР	31.05.2016 23:59:59	Розница	293 960,00	293 960,00	2	2
Насосное	PУТЕКТОР	31.05.2016 23:59:59	Розница	384 378,32	299 910,95	5	2
Подготовка поверхности	PУТЕКТОР	31.05.2016 23:59:59	Розница	476 238,43	476 710,42	2	2
Подготовка поверхности	Рутектор	31.05.2016 23:59:59	Розница	24 548,00	24 548,00	1	1
Сварочное	PУТЕКТОР	31.05.2016 23:59:59	Розница	152 284,42	137 724,66	4	3
Химическое	PУТЕКТОР	31.05.2016 23:59:59	Розница	65 007,40	64 969,17	3	3
Автосервис	PУТЕКТОР	01.06.2016 23:59:59	Дилер	26 547,32		2	
ЗЧ и РМ	PУТЕКТОР	01.06.2016 23:59:59	Дилер	346 166,82	312 169,60	13	10
Компрессорное	PУТЕКТОР	01.06.2016 23:59:59	Дилер	2 124 383,29	1 953 070,82	3	3
Насосное	PУТЕКТОР	01.06.2016 23:59:59	Дилер	645 119,15	651 593,72	13	13
Подготовка поверхности	PУТЕКТОР	01.06.2016 23:59:59	Дилер	11 909,54	1 013,90	2	1
Сварочное	PУТЕКТОР	01.06.2016 23:59:59	Дилер	934 935,76	910 693,61	7	6
Строительное	PУТЕКТОР	01.06.2016 23:59:59	Дилер	39 597,72		1	
Химическое	PУТЕКТОР	01.06.2016 23:59:59	Дилер	39 951,69	39 565,12	1	1
ЗЧ и РМ	Рутектор	01.06.2016 23:59:59	КПК	5 606 456,39		1	
Дуговая сварка.	PУТЕКТОР	01.06.2016 23:59:59	Розница	43 770,53	7 108,98	2	1
ЗЧ и РМ	PУТЕКТОР	01.06.2016 23:59:59	Розница	260 690,07	126 221,00	23	16
ЗЧ и РМ	Рутектор	01.06.2016 23:59:59	Розница	51 490,23	51 490,23	1	1
Компрессорное	PУТЕКТОР	01.06.2016 23:59:59	Розница	614 893,00	614 893,00	2	2
Насосное	PУТЕКТОР	01.06.2016 23:59:59	Розница	909 906,33	524 652,06	16	10
Подготовка поверхности	PУТЕКТОР	01.06.2016 23:59:59	Розница	827 293,47	827 293,47	5	5
Подготовка поверхности	Рутектор	01.06.2016 23:59:59	Розница	28 328,26	28 328,26	1	1
Сварочное	PУТЕКТОР	01.06.2016 23:59:59	Розница	1 525 641,02	1 525 641,02	4	4
Строительное	PУТЕКТОР	01.06.2016 23:59:59	Розница	39 657,87	39 657,87	1	1
Химическое	PУТЕКТОР	01.06.2016 23:59:59	Розница	527 564,80	521 346,57	2	2
ЗЧ и РМ	PУТЕКТОР	02.06.2016 23:59:59	Дилер	391 210,11	263 334,79	11	10
Компрессорное	PУТЕКТОР	02.06.2016 23:59:59	Дилер	407 122,33	224 351,58	7	5
Насосное	PУТЕКТОР	02.06.2016 23:59:59	Дилер	927 529,00	241 086,53	11	7
Химическое	PУТЕКТОР	02.06.2016 23:59:59	Дилер	25 676,59	25 676,59	1	1
Автосервис	PУТЕКТОР	02.06.2016 23:59:59	Розница	69 867,00	62 300,00	2	1
АТП	PУТЕКТОР	02.06.2016 23:59:59	Розница	61 690,61	61 612,96	1	1
ЗЧ и РМ	PУТЕКТОР	02.06.2016 23:59:59	Розница	268 334,71	154 822,05	12	8
Компрессорное	PУТЕКТОР	02.06.2016 23:59:59	Розница	86 300,00	16 000,00	2	1
Насосное	PУТЕКТОР	02.06.2016 23:59:59	Розница	1 038 105,61	561 223,02	14	7
Насосное	Рутектор	02.06.2016 23:59:59	Розница	78 040,00	78 040,00	1	1
Подготовка поверхности	PУТЕКТОР	02.06.2016 23:59:59	Розница	170 500,00	170 500,00	1	1
Сварочное	PУТЕКТОР	02.06.2016 23:59:59	Розница	1 723 644,99	555 000,00	5	1
Строительное	PУТЕКТОР	02.06.2016 23:59:59	Розница	57 400,00	57 400,00	1	1
Химическое	PУТЕКТОР	02.06.2016 23:59:59	Розница	50 488,43	50 488,43	1	1
ЗЧ и РМ	PУТЕКТОР	03.06.2016 23:59:59	Дилер	39 323,82	39 318,32	6	6
Компрессорное	PУТЕКТОР	03.06.2016 23:59:59	Дилер	936 821,00	936 821,00	3	3
Насосное	PУТЕКТОР	03.06.2016 23:59:59	Дилер	189 039,17	109 255,23	6	5
Подготовка поверхности	PУТЕКТОР	03.06.2016 23:59:59	Дилер	20 703,10	20 613,50	2	2
Подготовка поверхности	Рутектор	03.06.2016 23:59:59	КПК	45 925,00	45 925,00	1	1
Дуговая сварка.	PУТЕКТОР	03.06.2016 23:59:59	Розница	374 274,16	1 606,02	4	1
Дуговая сварка.	Рутектор	03.06.2016 23:59:59	Розница	45 597,88	45 597,88	1	1
ЗЧ и РМ	PУТЕКТОР	03.06.2016 23:59:59	Розница	85 508,05	59 023,74	13	9
Компрессорное	PУТЕКТОР	03.06.2016 23:59:59	Розница	382 300,00	175 000,00	4	3
Насосное	PУТЕКТОР	03.06.2016 23:59:59	Розница	188 521,86	18 050,00	3	1
Подготовка поверхности	PУТЕКТОР	03.06.2016 23:59:59	Розница	383 663,27	383 663,27	4	4
Сварочное	PУТЕКТОР	03.06.2016 23:59:59	Розница	99 797,09	99 800,00	1	1
Строительное	PУТЕКТОР	03.06.2016 23:59:59	Розница	55 068,06	55 068,06	1	1
Химическое	PУТЕКТОР	03.06.2016 23:59:59	Розница	17 097,66		1	
Дуговая сварка.	PУТЕКТОР	06.06.2016 23:59:59	Дилер	46 165,14	46 165,14	2	2
ЗЧ и РМ	PУТЕКТОР	06.06.2016 23:59:59	Дилер	347 183,87	323 083,65	9	8
Компрессорное	PУТЕКТОР	06.06.2016 23:59:59	Дилер	234 268,74	150 822,10	5	3
Насосное	PУТЕКТОР	06.06.2016 23:59:59	Дилер	474 176,45	339 344,81	8	7
Подготовка поверхности	PУТЕКТОР	06.06.2016 23:59:59	Дилер	47 240,75	47 041,05	2	2
Сварочное	PУТЕКТОР	06.06.2016 23:59:59	Дилер	4 046 632,98	3 872 290,60	4	4
Строительное	PУТЕКТОР	06.06.2016 23:59:59	Дилер	190 931,88	183 212,40	1	1
ЗЧ и РМ	Рутектор	06.06.2016 23:59:59	КПК	1 482 597,74		2	
ЗЧ и РМ	PУТЕКТОР	06.06.2016 23:59:59	Розница	405 550,69	386 822,56	8	6
ЗЧ и РМ	Рутектор	06.06.2016 23:59:59	Розница	23 400,00	23 400,00	1	1
Компрессорное	PУТЕКТОР	06.06.2016 23:59:59	Розница	1 239 542,42	1 089 842,42	8	6
Насосное	PУТЕКТОР	06.06.2016 23:59:59	Розница	1 470 637,22	349 230,60	14	6
Подготовка поверхности	PУТЕКТОР	06.06.2016 23:59:59	Розница	105 360,30	105 360,30	2	2
Сварочное	PУТЕКТОР	06.06.2016 23:59:59	Розница	322 817,95	322 817,95	7	7
Строительное	PУТЕКТОР	06.06.2016 23:59:59	Розница	29 998,07	29 998,07	1	1
Химическое	PУТЕКТОР	06.06.2016 23:59:59	Розница	528 546,53	523 274,61	3	3
ЗЧ и РМ	PУТЕКТОР	07.06.2016 23:59:59	Дилер	358 217,34	332 922,57	12	11
Компрессорное	PУТЕКТОР	07.06.2016 23:59:59	Дилер	560 720,29	250 916,69	9	7
Насосное	PУТЕКТОР	07.06.2016 23:59:59	Дилер	677 949,18	633 967,28	15	14
Подготовка поверхности	PУТЕКТОР	07.06.2016 23:59:59	Дилер	15 660,00	15 660,00	1	1
Сварочное	PУТЕКТОР	07.06.2016 23:59:59	Дилер	9 000,23	8 864,09	1	1
Строительное	PУТЕКТОР	07.06.2016 23:59:59	Дилер	39 500,00	39 500,00	1	1
Химическое	PУТЕКТОР	07.06.2016 23:59:59	Дилер	164 920,05	160 945,25	4	4
Дуговая сварка.	PУТЕКТОР	07.06.2016 23:59:59	КПК	12 000,00	11 999,98	1	1
ЗЧ и РМ	PУТЕКТОР	07.06.2016 23:59:59	КПК	111 678,00	111 677,89	1	1
Компрессорное	Рутектор	07.06.2016 23:59:59	КПК	1 600,00	1 047,24	1	1
Подготовка поверхности	Рутектор	07.06.2016 23:59:59	КПК	20 400,00	13 352,36	1	1
ЗЧ и РМ	PУТЕКТОР	07.06.2016 23:59:59	Розница	107 800,75	69 561,01	11	8
Компрессорное	PУТЕКТОР	07.06.2016 23:59:59	Розница	1 124 323,05	994 997,18	7	4
Насосное	PУТЕКТОР	07.06.2016 23:59:59	Розница	666 250,13	70 353,59	9	4
Подготовка поверхности	PУТЕКТОР	07.06.2016 23:59:59	Розница	32 102,74	32 102,73	3	3
Сварочное	PУТЕКТОР	07.06.2016 23:59:59	Розница	207 622,22	72 571,21	6	3
Строительное	PУТЕКТОР	07.06.2016 23:59:59	Розница	33 720,00	33 720,00	1	1
ЗЧ и РМ	PУТЕКТОР	08.06.2016 23:59:59	Дилер	109 685,51	106 444,77	8	8
ЗЧ и РМ	Рутектор	08.06.2016 23:59:59	Дилер	2 505,13	2 473,82	1	1
Компрессорное	PУТЕКТОР	08.06.2016 23:59:59	Дилер	295 650,83	153 897,90	8	5
Насосное	PУТЕКТОР	08.06.2016 23:59:59	Дилер	868 757,75	749 800,49	17	15
Подготовка поверхности	PУТЕКТОР	08.06.2016 23:59:59	Дилер	116 200,00		1	
Сварочное	PУТЕКТОР	08.06.2016 23:59:59	Дилер	45 655,70	45 034,94	2	2
Химическое	PУТЕКТОР	08.06.2016 23:59:59	Дилер	42 987,51	42 661,20	1	1
Автосервис	PУТЕКТОР	08.06.2016 23:59:59	Розница	67 500,00	67 500,00	3	3
Дуговая сварка.	PУТЕКТОР	08.06.2016 23:59:59	Розница	69 503,07	69 503,07	4	4
ЗЧ и РМ	PУТЕКТОР	08.06.2016 23:59:59	Розница	328 585,73	234 912,17	23	16
Компрессорное	PУТЕКТОР	08.06.2016 23:59:59	Розница	829 017,38	820 123,75	7	6
Насосное	PУТЕКТОР	08.06.2016 23:59:59	Розница	1 239 559,93	178 645,21	12	4
Подготовка поверхности	PУТЕКТОР	08.06.2016 23:59:59	Розница	147 335,97	147 335,97	4	4
Сварочное	PУТЕКТОР	08.06.2016 23:59:59	Розница	135 263,13	10 267,20	5	1
ЗЧ и РМ	PУТЕКТОР	09.06.2016 23:59:59	Дилер	74 866,64	64 356,14	7	6
Компрессорное	PУТЕКТОР	09.06.2016 23:59:59	Дилер	51 854,67	36 596,62	3	2
Насосное	PУТЕКТОР	09.06.2016 23:59:59	Дилер	525 440,03	458 724,18	17	15
Сварочное	PУТЕКТОР	09.06.2016 23:59:59	Дилер	234 459,36	83 251,75	3	2
Строительное	PУТЕКТОР	09.06.2016 23:59:59	Дилер	84 834,01		1	
Насосное	Рутектор	09.06.2016 23:59:59	КПК	201 200,00	201 200,00	1	1
Сварочное	Рутектор	09.06.2016 23:59:59	КПК	196 000,00	196 000,00	1	1
Дуговая сварка.	PУТЕКТОР	09.06.2016 23:59:59	Розница	5 000,00	5 000,00	1	1
ЗЧ и РМ	PУТЕКТОР	09.06.2016 23:59:59	Розница	426 528,45	247 008,12	18	13
ЗЧ и РМ	Рутектор	09.06.2016 23:59:59	Розница	53 644,00	53 806,10	2	2
Компрессорное	PУТЕКТОР	09.06.2016 23:59:59	Розница	1 067 881,89	1 005 180,86	4	3
Насосное	PУТЕКТОР	09.06.2016 23:59:59	Розница	377 183,07	203 644,96	8	5
Подготовка поверхности	PУТЕКТОР	09.06.2016 23:59:59	Розница	441 849,75	441 849,48	4	4
Сварочное	PУТЕКТОР	09.06.2016 23:59:59	Розница	682 372,25	23 262,30	4	1
Химическое	PУТЕКТОР	09.06.2016 23:59:59	Розница	1 240 831,28	754 098,95	5	4
ЗЧ и РМ	PУТЕКТОР	10.06.2016 23:59:59	Дилер	106 423,92	105 425,29	8	8
